MarketDate,ClosingPrice,SettlementPrice
2013-10-18,977.00,975.00
2013-10-21,969.00,967.00
2013-10-22,948.00,956.00
2013-10-23,939.00,944.00
2013-10-24,926.00,928.00
2013-10-25,918.00,927.00
2013-10-28,923.00,922.00
2013-10-29,921.00,917.00
2013-10-30,924.00,922.00
2013-10-31,922.00,923.00
2013-11-01,942.00,942.00
2013-11-04,950.00,949.00
2013-11-05,946.00,947.00
2013-11-06,944.00,945.00
2013-11-07,945.00,944.00
2013-11-08,939.00,940.00
2013-11-11,942.00,938.00
2013-11-12,943.00,939.00
2013-11-13,943.00,946.00
2013-11-14,937.00,940.00
2013-11-15,931.00,935.00
2013-11-18,932.00,930.00
2013-11-19,942.00,936.00
2013-11-20,942.00,942.00
2013-11-21,932.00,935.00
2013-11-22,931.00,932.00
2013-11-25,933.00,932.00
2013-11-26,941.00,939.00
2013-11-27,936.00,936.00
2013-11-28,939.00,937.00
2013-11-29,939.00,941.00
2013-12-02,936.00,936.00
2013-12-03,939.00,938.00
2013-12-04,952.00,949.00
2013-12-05,945.00,948.00
2013-12-06,941.00,940.00
2013-12-09,945.00,943.00
2013-12-10,942.00,943.00
2013-12-11,937.00,936.00
2013-12-12,930.00,934.00
2013-12-13,914.00,912.00
2013-12-16,918.00,918.00
2013-12-17,910.00,916.00
2013-12-18,906.00,907.00
2013-12-19,908.00,909.00
2013-12-20,905.00,908.00
2013-12-23,893.00,892.00
2013-12-24,900.00,901.00
2013-12-25,903.00,901.00
2013-12-26,896.00,891.00
2013-12-27,907.00,903.00
2013-12-30,911.00,913.00
2013-12-31,911.00,909.00
2014-01-02,907.00,906.00
2014-01-03,902.00,897.00
2014-01-06,893.00,892.00
2014-01-07,896.00,893.00
2014-01-08,892.00,890.00
2014-01-09,888.00,890.00
2014-01-10,881.00,877.00
2014-01-13,871.00,872.00
2014-01-14,880.00,874.00
2014-01-15,879.00,877.00
2014-01-16,879.00,879.00
2014-01-17,876.00,874.00
2014-01-20,861.00,867.00
2014-01-21,847.00,849.00
2014-01-22,852.00,851.00
2014-01-23,878.00,869.00
2014-01-24,877.00,875.00
2014-01-27,864.00,865.00
2014-01-28,857.00,861.00
2014-01-29,866.00,863.00
2014-01-30,868.00,866.00
2014-02-07,856.00,859.00
2014-02-10,854.00,853.00
2014-02-11,848.00,851.00
2014-02-12,853.00,849.00
2014-02-13,854.00,853.00
2014-02-14,861.00,860.00
2014-02-17,873.00,868.00
2014-02-18,860.00,868.00
2014-02-19,864.00,863.00
2014-02-20,852.00,856.00
2014-02-21,851.00,850.00
2014-02-24,821.00,828.00
2014-02-25,817.00,819.00
2014-02-26,820.00,816.00
2014-02-27,824.00,821.00
2014-02-28,817.00,820.00
2014-03-03,811.00,809.00
2014-03-04,812.00,808.00
2014-03-05,816.00,812.00
2014-03-06,806.00,812.00
2014-03-07,780.00,788.00
2014-03-10,757.00,757.00
2014-03-11,753.00,744.00
2014-03-12,753.00,739.00
2014-03-13,764.00,752.00
2014-03-14,760.00,754.00
2014-03-17,752.00,756.00
2014-03-18,754.00,752.00
2014-03-19,755.00,754.00
2014-03-20,759.00,763.00
2014-03-21,758.00,760.00
2014-03-24,770.00,758.00
2014-03-25,788.00,781.00
2014-03-26,791.00,785.00
2014-03-27,785.00,788.00
2014-03-28,804.00,794.00
2014-03-31,816.00,812.00
2014-04-01,828.00,823.00
2014-04-02,817.00,818.00
2014-04-03,835.00,824.00
2014-04-04,841.00,833.00
2014-04-08,861.00,852.00
2014-04-09,851.00,857.00
2014-04-10,856.00,855.00
2014-04-11,853.00,853.00
2014-04-14,846.00,844.00
2014-04-15,853.00,844.00
2014-04-16,854.00,850.00
2014-04-17,847.00,849.00
2014-04-18,827.00,835.00
2014-04-21,834.00,830.00
2014-04-22,834.00,830.00
2014-04-23,836.00,829.00
2014-04-24,853.00,845.00
2014-04-25,845.00,847.00
2014-04-28,828.00,825.00
2014-04-29,831.00,828.00
2014-04-30,830.00,830.00
2014-05-05,845.00,833.00
2014-05-06,800.00,800.00
2014-05-07,800.00,800.00
2014-05-08,790.00,803.00
2014-05-09,830.00,835.00
2014-05-12,844.00,836.00
2014-05-13,830.00,842.00
2014-05-14,849.00,826.00
2014-05-15,849.00,839.00
2014-05-16,832.00,832.00
2014-05-19,689.00,690.00
2014-05-20,680.00,680.00
2014-05-21,690.00,688.00
2014-05-22,698.00,701.00
2014-05-23,691.00,692.00
2014-05-26,705.00,699.00
2014-05-27,706.00,702.00
2014-05-28,692.00,693.00
2014-05-29,694.00,691.00
2014-05-30,674.00,677.00
2014-06-03,683.00,680.00
2014-06-04,691.00,687.00
2014-06-05,688.00,687.00
2014-06-06,689.00,689.00
2014-06-09,689.00,689.00
2014-06-10,685.00,685.00
2014-06-11,681.00,682.00
2014-06-12,676.00,674.00
2014-06-13,673.00,672.00
2014-06-16,666.00,668.00
2014-06-17,674.00,674.00
2014-06-18,671.00,675.00
2014-06-19,670.00,671.00
2014-06-20,676.00,677.00
2014-06-23,686.00,687.00
2014-06-24,683.00,682.00
2014-06-25,686.00,686.00
2014-06-26,703.00,697.00
2014-06-27,700.00,702.00
2014-06-30,696.00,698.00
2014-07-01,697.00,696.00
2014-07-02,711.00,704.00
2014-07-03,708.00,710.00
2014-07-04,706.00,706.00
2014-07-07,699.00,696.00
2014-07-08,708.00,703.00
2014-07-09,691.00,694.00
2014-07-10,698.00,700.00
2014-07-11,702.00,699.00
2014-07-14,704.00,705.00
2014-07-15,707.00,709.00
2014-07-16,708.00,708.00
2014-07-17,698.00,700.00
2014-07-18,672.00,683.00
2014-07-21,671.00,671.00
2014-07-22,668.00,671.00
2014-07-23,667.00,667.00
2014-07-24,661.00,662.00
2014-07-25,667.00,666.00
2014-07-28,680.00,674.00
2014-07-29,679.00,680.00
2014-07-30,673.00,673.00
2014-07-31,674.00,673.00
2014-08-01,669.00,668.00
2014-08-04,679.00,671.00
2014-08-05,675.00,677.00
2014-08-06,673.00,673.00
2014-08-07,671.00,674.00
2014-08-08,667.00,666.00
2014-08-11,661.00,666.00
2014-08-12,659.00,658.00
2014-08-13,654.00,655.00
2014-08-14,648.00,649.00
2014-08-15,657.00,652.00
2014-08-18,643.00,647.00
2014-08-19,647.00,645.00
2014-08-20,637.00,643.00
2014-08-21,637.00,638.00
2014-08-22,638.00,638.00
2014-08-25,636.00,634.00
2014-08-26,642.00,638.00
2014-08-27,634.00,634.00
2014-08-28,626.00,627.00
2014-08-29,624.00,623.00
2014-09-01,616.00,618.00
2014-09-02,625.00,621.00
2014-09-03,604.00,611.00
2014-09-04,594.00,601.00
2014-09-05,584.00,586.00
2014-09-09,580.00,585.00
2014-09-10,585.00,577.00
2014-09-11,581.00,578.00
2014-09-12,584.00,581.00
2014-09-15,594.00,589.00
2014-09-16,594.00,592.00
2014-09-17,592.00,592.00
2014-09-18,585.00,586.00
2014-09-19,571.00,572.00
2014-09-22,550.00,553.00
2014-09-23,551.00,550.00
2014-09-24,552.00,554.00
2014-09-25,541.00,546.00
2014-09-26,543.00,544.00
2014-09-29,523.00,530.00
2014-09-30,525.00,526.00
2014-10-08,518.00,524.00
2014-10-09,528.00,521.00
2014-10-10,539.00,532.00
2014-10-13,553.00,551.00
2014-10-14,555.00,553.00
2014-10-15,547.00,548.00
2014-10-16,528.00,530.00
2014-10-17,537.00,533.00
2014-10-20,546.00,542.00
2014-10-21,546.00,548.00
2014-10-22,535.00,539.00
2014-10-23,529.00,524.00
2014-10-24,530.00,528.00
2014-10-27,526.00,528.00
2014-10-28,522.00,522.00
2014-10-29,528.00,524.00
2014-10-30,536.00,534.00
2014-10-31,532.00,532.00
2014-11-03,522.00,527.00
2014-11-04,520.00,518.00
2014-11-05,510.00,517.00
2014-11-06,506.00,507.00
2014-11-07,512.00,510.00
2014-11-10,514.00,513.00
2014-11-11,510.00,509.00
2014-11-12,508.00,510.00
2014-11-13,507.00,506.00
2014-11-14,507.00,507.00
2014-11-17,507.00,507.00
2014-11-18,487.00,492.00
2014-11-19,473.00,476.00
2014-11-20,476.00,476.00
2014-11-21,476.00,471.00
2014-11-24,470.00,476.00
2014-11-25,466.00,463.00
2014-11-26,467.00,463.00
2014-11-27,481.00,474.00
2014-11-28,485.00,485.00
2014-12-01,480.00,478.00
2014-12-02,475.00,479.00
2014-12-03,482.00,477.00
2014-12-04,494.00,490.00
2014-12-05,491.00,488.00
2014-12-08,481.00,490.00
2014-12-09,488.00,478.00
2014-12-10,483.00,481.00
2014-12-11,480.00,483.00
2014-12-12,490.00,485.00
2014-12-15,485.00,487.00
2014-12-16,479.00,477.00
2014-12-17,485.00,482.00
2014-12-18,487.00,487.00
2014-12-19,492.00,490.00
2014-12-22,485.00,486.00
2014-12-23,473.00,476.00
2014-12-24,477.00,475.00
2014-12-25,476.00,476.00
2014-12-26,474.00,475.00
2014-12-29,485.00,480.00
2014-12-30,499.00,496.00
2014-12-31,509.00,508.00
2015-01-05,500.00,500.00
2015-01-06,520.00,514.00
2015-01-07,513.00,511.00
2015-01-08,512.00,512.00
2015-01-09,510.00,510.00
2015-01-12,499.00,507.00
2015-01-13,501.00,499.00
2015-01-14,497.00,496.00
2015-01-15,507.00,501.00
2015-01-16,506.00,507.00
2015-01-19,508.00,503.00
2015-01-20,502.00,504.00
2015-01-21,486.00,496.00
2015-01-22,487.00,488.00
2015-01-23,476.00,480.00
2015-01-26,470.00,471.00
2015-01-27,470.00,470.00
2015-01-28,471.00,470.00
2015-01-29,476.00,474.00
2015-01-30,474.00,474.00
2015-02-02,472.00,473.00
2015-02-03,478.00,478.00
2015-02-04,470.00,476.00
2015-02-05,474.00,474.00
2015-02-06,478.00,476.00
2015-02-09,476.00,475.00
2015-02-10,480.00,477.00
2015-02-11,481.00,479.00
2015-02-12,479.00,478.00
2015-02-13,489.00,486.00
2015-02-16,497.00,494.00
2015-02-17,493.00,491.00
2015-02-25,479.00,482.00
2015-02-26,489.00,484.00
2015-02-27,485.00,486.00
2015-03-02,483.00,481.00
2015-03-03,485.00,483.00
2015-03-04,477.00,479.00
2015-03-05,460.00,464.00
2015-03-06,456.00,458.00
2015-03-09,462.00,461.00
2015-03-10,459.00,461.00
2015-03-11,462.00,458.00
2015-03-12,464.00,462.00
2015-03-13,460.00,464.00
2015-03-16,464.00,460.00
2015-03-17,459.00,461.00
2015-03-18,444.00,449.00
2015-03-19,445.00,445.00
2015-03-20,438.00,444.00
2015-03-23,442.00,437.00
2015-03-24,445.00,444.00
2015-03-25,436.00,441.00
2015-03-26,424.00,430.00
2015-03-27,415.00,411.00
2015-03-30,407.00,413.00
2015-03-31,404.00,403.00
2015-04-01,399.00,400.00
2015-04-02,384.00,387.00
2015-04-03,380.00,379.00
2015-04-07,388.00,386.00
2015-04-08,389.00,386.00
2015-04-09,376.00,381.00
2015-04-10,366.00,368.00
2015-04-13,385.00,373.00
2015-04-14,387.00,384.00
2015-04-15,393.00,393.00
2015-04-16,401.00,398.00
2015-04-17,403.00,402.00
2015-04-20,400.50,403.00
2015-04-21,408.00,401.50
2015-04-22,417.50,414.00
2015-04-23,422.00,421.00
2015-04-24,437.00,431.50
2015-04-27,448.50,443.50
2015-04-28,454.00,451.50
2015-04-29,448.50,457.50
2015-04-30,460.50,457.50
2015-05-04,461.00,460.00
2015-05-05,468.00,461.50
2015-05-06,480.00,485.50
2015-05-07,485.50,485.50
2015-05-08,488.00,488.00
2015-05-11,472.00,488.00
2015-05-12,499.00,491.50
2015-05-13,499.00,499.00
2015-05-14,472.00,472.00
2015-05-15,480.00,473.00
2015-05-18,420.00,421.50
2015-05-19,415.00,417.00
2015-05-20,407.00,409.00
2015-05-21,415.00,412.00
2015-05-22,414.50,411.50
2015-05-25,419.00,414.50
2015-05-26,423.50,424.50
2015-05-27,423.50,424.50
2015-05-28,421.00,423.50
2015-05-29,424.50,418.00
2015-06-01,431.00,428.50
2015-06-02,430.50,430.50
2015-06-03,426.00,430.00
