Date,Quantity
2014-01-03,2012.0
2014-01-10,2056.0
2014-01-17,2079.0
2014-01-24,2136.0
2014-02-07,2291.0
2014-02-14,2426.0
2014-02-21,2422.0
2014-02-28,2419.0
2014-03-07,2409.0
2014-03-14,2535.0
2014-03-21,2559.0
2014-03-28,2540.0
2014-04-04,2489.0
2014-04-11,2462.0
2014-04-18,2478.0
2014-04-25,2539.0
2014-05-02,2518.0
2014-05-09,2364.0
2014-05-16,2342.0
2014-05-23,2258.0
2014-05-30,2193.0
2014-06-06,2092.0
2014-06-13,2083.0
2014-06-20,2039.0
2014-06-27,2023.0
2014-07-04,2025.0
2014-07-11,2034.0
2014-07-18,2031.0
2014-07-25,1936.0
2014-08-01,1928.0
2014-08-08,1922.0
2014-08-15,1877.0
2014-08-22,1879.0
2014-08-29,1971.0
2014-09-05,1931.0
2014-09-12,1998.0
2014-09-19,1989.0
2014-09-26,1924.0
2014-10-10,1919.0
2014-10-17,1879.0
2014-10-24,1888.0
2014-10-31,1884.0
2014-11-07,1905.0
2014-11-14,1901.0
2014-11-21,1937.0
2014-11-28,1876.0
2014-12-05,1881.0
2014-12-12,1883.0
2014-12-19,1798.0
2014-12-26,1812.0
2015-01-02,1746.0
2015-01-09,1756.0
2015-01-16,1773.0
2015-01-23,1738.0
2015-01-30,1706.0
2015-02-06,1688.0
2015-02-13,1639.0
2015-02-27,1682.0
2015-03-06,1729.0
2015-03-13,1733.0
2015-03-20,1699.0
2015-03-27,1704.0
2015-04-03,1583.0
2015-04-10,1639.0
2015-04-17,1669.0
2015-04-24,1648.0
2015-05-01,1598.0
2015-05-08,1541.0
2015-05-15,1453.0
2015-05-22,1436.0
2015-05-29,1386.0
2015-06-05,1388.0
2015-06-12,1324.0
2015-06-19,1322.0
2015-06-26,1219.0
2015-07-03,1295.0
2015-07-10,1274.0
2015-07-17,1239.0
2015-07-24,1268.0
2015-07-31,1304.0
2015-08-07,1396.0
2015-08-14,1381.0
2015-08-21,1383.0
2015-08-28,1339.0
2015-09-04,1344.0
2015-09-11,1260.0
2015-09-18,1358.0
2015-09-25,1467.0
2015-10-09,1438.0
2015-10-16,1505.0
2015-10-23,1529.0
2015-10-30,1634.0
2015-11-06,1800.0
2015-11-13,1770.0
2015-11-20,1839.0
2015-11-27,1897.0
2015-12-04,2028.0
2015-12-11,2144.0
2015-12-18,2179.0
2015-12-25,2289.0
2015-12-31,2324.0
2016-01-08,2477.0
2016-01-15,2503.0
2016-01-22,2402.0
2016-01-29,2377.0
2016-02-02,2330.0
2016-02-19,2264.0
2016-02-26,2362.0
2016-03-04,2337.0
2016-03-11,2414.0
2016-03-18,2408.0
2016-03-25,2389.0
2016-04-01,2448.0
2016-04-08,2464.0
2016-04-15,2402.0
2016-04-22,2370.0
2016-04-29,2411.0
2016-05-06,2357.0
2016-05-13,2302.0
2016-05-20,2243.0
2016-05-27,2238.0
2016-06-03,2128.0
2016-06-12,2119.0
2016-06-17,2108.0
2016-06-24,2144.0
2016-07-01,2199.0
2016-07-08,2214.0
2016-07-15,2311.0
2016-07-22,2428.0
2016-07-29,2295.0
2016-08-05,2198.0
2016-08-12,2233.0
2016-08-19,2236.0
2016-08-26,2039.0
2016-09-02,2084.0
2016-09-09,2020.0
2016-09-14,2035.0
2016-09-23,2005.0
2016-09-30,2165.0
2016-10-07,2170.0
2016-10-14,2231.0
2016-10-21,2280.0
2016-10-28,2355.0
2016-11-04,2463.0
2016-11-11,2498.0
2016-11-18,2522.0
2016-11-25,2509.0
2016-12-02,2528.0
2016-12-09,2527.0
2016-12-16,2540.0
2016-12-23,2390.0
2016-12-30,2421.0
2017-01-06,2488.0
2017-01-13,2509.0
2017-01-20,2531.0
2017-02-10,2805.0
2017-02-17,2850.0
2017-02-24,2880.0
2017-03-03,2664.0
2017-03-10,2842.0
2017-03-17,2834.0
2017-03-24,2958.0
2017-03-31,2970.0
2017-04-07,2955.0
2017-04-14,2926.0
2017-04-21,2875.0
2017-04-28,2982.0
2017-05-05,3054.0
2017-05-12,3131.0
2017-05-19,3228.0
2017-05-26,3233.0
2017-06-02,3155.0
2017-06-09,3198.0
2017-06-16,3139.9
2017-06-23,3211.8
2017-06-30,3141.7
2017-07-07,3128.7
2017-07-14,3209.1
2017-07-21,3179.1
2017-07-28,3153.0
2017-08-04,3077.52
2017-08-11,3020.4
2017-08-18,3058.11
2017-08-25,3092.81
2017-09-01,3171.19
2017-09-08,3166.98
2017-09-15,3111.28
2017-09-22,3154.45
2017-09-29,3274.0
2017-10-13,3218.0
2017-10-20,3292.0
2017-10-27,3452.0
2017-11-03,3573.0
2017-11-10,3609.88
2017-11-17,3593.45
2017-11-24,3644.54
2017-12-01,3715.33
2017-12-08,3699.79
2017-12-15,3644.75
2017-12-22,3646.3
2017-12-29,3578.42
2018-01-05,3613.45
2018-01-12,3618.78
2018-01-19,3647.64
2018-01-26,3676.27
2018-02-02,3647.64
2018-02-09,3636.2
2018-03-02,3690.42
2018-03-09,3577.61
2018-03-16,3565.51
2018-03-23,3596.85
2018-03-30,3512.74
2018-04-05,3527.15
2018-04-13,3458.82
2018-04-20,3391.99
2018-04-27,3360.91
2018-05-04,3300.77
2018-05-11,3162.8
2018-05-18,3084.73
2018-05-25,3040.43
2018-06-01,2957.35
2018-06-08,2845.72
2018-06-15,2808.65
2018-06-22,2639.71
2018-06-29,2655.72
2018-07-06,2509.02
2018-07-13,2401.26
2018-07-20,2471.87
2018-07-27,2408.4
2018-08-03,2498.09
2018-08-10,2542.93
2018-08-17,2561.88
2018-08-24,2538.05
2018-08-31,2541.7
2018-09-07,2573.4
2018-09-14,2679.8
2018-09-21,2694.92
2018-09-28,2797.35
2018-10-12,2929.69
2018-10-19,3165.87
2018-10-26,3151.79
2018-11-02,3200.16
2018-11-09,3241.31
2018-11-16,3220.71
2018-11-22,3287.42
2018-11-30,3233.54
2018-12-07,3158.2
2018-12-14,3308.68
2018-12-21,3295.95
2018-12-28,3515.96
2019-01-04,3567.67
2019-01-11,3584.63
2019-01-18,3725.4
2019-01-25,3762.84
2019-02-01,3696.33
2019-02-15,4073.29
2019-02-22,4097.2
2019-02-28,4178.74
2019-03-07,4288.15
2019-03-14,4341.25
2019-03-21,4339.84
2019-03-28,4351.82
2019-04-04,4440.76
2019-04-11,4280.63
2019-04-18,4289.78
2019-04-25,4265.9
2019-05-02,4259.23
2019-05-09,4236.8
2019-05-16,4144.0
2019-05-23,4050.19
2019-05-30,3879.68
2019-06-06,3618.03
2019-06-13,3471.89
2019-06-20,3397.56
2019-06-27,3383.36
2019-07-07,3307.94
2019-07-11,3211.55
2019-07-18,3397.16
2019-07-25,3444.86
2019-08-01,3513.41
2019-08-08,3468.81
2019-08-15,3363.72
2019-08-22,3453.78
2019-08-29,3434.14
2019-09-05,3480.7
2019-09-12,3543.74
2019-09-19,3606.24
2019-09-28,3454.64
2019-10-12,3537.9
2019-10-19,3570.9
2019-10-26,3618.31
2019-11-02,3561.98
2019-11-09,3545.5
2019-11-16,3518.17
2019-11-22,3610.91
2019-11-30,3615.66
2019-12-07,3597.92
2019-12-14,3578.06
2019-12-21,3599.95
2019-12-28,3484.68
2020-01-03,3453.72
2020-01-09,3372.28
2020-01-16,3341.37
2020-01-23,3349.52
2020-02-07,3441.84
2020-02-15,3218.11
2020-02-22,3278.28
2020-02-28,3222.15
2020-03-07,3187.55
2020-03-13,3075.55
2020-03-20,3022.72
2020-03-27,2843.77
2020-04-03,2800.52
2020-04-10,2824.5
2020-04-17,2805.76
2020-04-24,2772.46
2020-05-01,2645.67
2020-05-08,2529.6
2020-05-15,2259.35
2020-05-22,2189.85
2020-05-29,2193.42
2020-06-05,2178.65
2020-06-12,2071.05
2020-06-19,2132.55
2020-06-26,2172.8
2020-07-03,2242.1
2020-07-10,2386.4
2020-07-18,2371.07
2020-07-25,2499.86
2020-08-01,2571.76
2020-08-08,2652.85
2020-08-15,2775.64
2020-08-22,2844.94
2020-08-29,2980.22
2020-09-05,3020.92
2020-09-12,3030.93
2020-09-19,3072.33
2020-09-25,3169.25
2020-09-30,3237.92
2020-10-12,3332.8
2020-10-19,3520.29
2020-10-26,3700.38
2020-11-02,3938.95
2020-11-09,3956.3
2020-11-16,4102.7
2020-11-22,4160.59
2020-11-30,4116.06
2020-12-07,4077.9
2020-12-14,4067.1
2020-12-21,4125.85
2020-12-28,4139.8
2020-12-31,4078.4
2021-01-08,4043.5
2021-01-15,4194.03
2021-01-22,4359.86
2021-01-29,4370.78
2021-02-07,4358.8
2021-02-19,4443.3
2021-02-27,4400.4
2021-03-06,4369.3
2021-03-11,4346.0
2021-03-18,4327.9
2021-03-25,4343.7
2021-04-01,4300.8
2021-04-08,4249.78
2021-04-15,4102.8
2021-04-22,4050.9
2021-04-29,3895.55
2021-05-06,3889.99
2021-05-15,3751.52
2021-05-22,3751.29
2021-05-29,3784.85
2021-06-05,3678.54
2021-06-12,3679.82
2021-06-19,3483.65
2021-06-26,3447.9
2021-07-03,3470.1
2021-07-10,3418.82
2021-07-18,3351.41
2021-07-25,3472.98
2021-08-01,3380.71
2021-08-08,3457.34
2021-08-15,3491.18
2021-08-22,3658.21
2021-08-29,3731.46
2021-09-05,3811.46
2021-09-12,3854.16
2021-09-19,4020.83
2021-09-25,4062.24
2021-09-30,4287.84
2021-10-12,4382.7
2021-10-19,4629.0
2021-10-26,4649.8
2021-11-02,4855.33
2021-11-09,4977.0
2021-11-16,5188.0
2021-11-22,5312.42
2021-11-30,5526.0
2021-12-07,5561.5
2021-12-14,5571.25
2021-12-21,5601.7
2021-12-28,5547.43
2021-12-31,5589.18
2022-01-08,5544.52
2022-01-15,5527.2
2022-01-22,5450.58
2022-01-29,5346.84
2022-02-07,5414.06
2022-02-13,5391.91
2022-02-19,5347.24
2022-02-27,5335.1
2022-03-06,5342.48
2022-03-11,5208.8
2022-03-18,5107.57
2022-03-25,5154.3
2022-04-01,5066.9
2022-04-08,4967.9
2022-04-15,4895.9
2022-04-22,4840.5
2022-04-29,4782.1
2022-05-06,4674.2
2022-05-15,4664.5
2022-05-22,4574.2
2022-05-29,4603.0
2022-06-05,4386.0
2022-06-12,4355.55
2022-06-19,4282.1
2022-06-26,4243.37
2022-07-03,4153.2
2022-07-10,4158.12
2022-07-18,4269.47
2022-07-25,4422.83
2022-08-01,4520.15
2022-08-08,4487.36
2022-08-15,4610.06
2022-08-22,4605.61
2022-08-29,4634.47
2022-09-05,4670.02
2022-09-12,4569.99
2022-09-19,4638.16
2022-09-25,4598.33
2022-09-30,4609.2
2022-10-12,4557.29
2022-10-19,4641.02
2022-10-26,4629.79
2022-11-02,4709.83
2022-11-09,4790.82
2022-11-16,4753.85
2022-11-22,4737.16
2022-11-30,4844.0
2022-12-07,4876.04
2022-12-14,4937.38
2022-12-21,4857.07
2022-12-28,4785.48
2023-01-06,4716.55
2023-01-13,4762.68
2023-01-20,4750.21
2023-01-26,4781.39
2023-02-06,4890.32
2023-02-13,4910.33
2023-02-19,4898.26
2023-02-27,4995.9
2023-03-06,4884.97
2023-03-11,4792.4
2023-03-18,4740.92
2023-03-25,4647.93
2023-04-01,4475.63
2023-04-08,4413.98
2023-04-15,4368.98
2023-04-22,4411.15
2023-04-29,4296.22
2023-05-06,4301.25
2023-05-15,4308.69
2023-05-22,4380.36
2023-05-29,4399.84
2023-06-05,4348.64
2023-06-12,4334.57
2023-06-19,4412.21
2023-06-26,4385.51
