Date,Quantity
2014/1/3,223.37
2014/1/10,214.9
2014/1/17,212.4
2014/1/24,231.5
2014/2/7,178.8
2014/2/14,209
2014/2/21,211.5
2014/2/28,213.2
2014/3/7,207.4
2014/3/14,218.1
2014/3/21,211.4
2014/3/28,228.7
2014/4/4,223.9
2014/4/11,217.9
2014/4/18,229.6
2014/4/25,235.58
2014/5/4,232.07
2014/5/9,235.1
2014/5/16,240.7
2014/5/23,244.3
2014/5/30,237.35
2014/6/6,242.75
2014/6/13,251
2014/6/20,252.96
2014/6/27,250.35
2014/7/4,253.47
2014/7/11,260.77
2014/7/18,264.67
2014/7/25,257.8
2014/8/1,257.67
2014/8/8,259.07
2014/8/15,256.86
2014/8/22,264.03
2014/8/29,256.32
2014/9/5,263.78
2014/9/12,259.76
2014/9/19,250.8
2014/9/26,256.13
2014/10/10,251.9
2014/10/17,263.9
2014/10/24,263.4
2014/10/31,263.7
2014/11/7,266.5
2014/11/14,262.7
2014/11/21,272.9
2014/11/28,264.5
2014/12/5,269.55
2014/12/12,262.3
2014/12/19,269.4
2014/12/26,271.3
2015/1/2,259.4
2015/1/9,260.5
2015/1/16,257.6
2015/1/23,244.2
2015/1/30,237.1
2015/2/6,255.15
2015/2/13,259.1
2015/2/27,219.7
2015/3/6,250.6
2015/3/13,232.2
2015/3/20,241.8
2015/3/27,241.3
2015/4/3,259.6
2015/4/10,254.1
2015/4/17,266.4
2015/4/24,272.7
2015/5/1,275.6
2015/5/8,271.8
2015/5/15,270.6
2015/5/22,265.6
2015/5/29,261.7
2015/6/5,261.2
2015/6/12,268.7
2015/6/19,262.2
2015/6/26,259.1
2015/7/3,246.3
2015/7/10,242.1
2015/7/17,249.2
2015/7/24,245.6
2015/7/31,258.1
2015/8/7,247.25
2015/8/14,240.5
2015/8/21,267.1
2015/8/28,254.1
2015/9/4,217.2
2015/9/11,231.7
2015/9/18,252.9
2015/9/25,256.4
2015/10/9,258.4
2015/10/16,240.9
2015/10/23,252
2015/10/30,248.4
2015/11/6,246.3
2015/11/13,250.6
2015/11/20,256.6
2015/11/27,196.9
2015/12/4,240.1
2015/12/11,247.2
2015/12/18,244
2015/12/25,248.4
2015/12/31,255.9
2016/1/8,247.2
2016/1/15,251.8
2016/1/22,250.2
2016/1/29,239.3
2016/2/2,272
2016/2/19,230.4
2016/2/26,262.8
2016/3/4,253.9
2016/3/11,262.9
2016/3/18,254.1
2016/3/25,252.9
2016/4/1,246
2016/4/8,250
2016/4/15,266
2016/4/22,273
2016/4/29,257.3
2016/5/6,249
2016/5/13,260.2
2016/5/20,266.4
2016/5/27,261.2
2016/6/3,255.2
2016/6/12,257.9
2016/6/17,236.2
2016/6/24,252.1
2016/7/1,263
2016/7/10,249.9
2016/7/17,261.2
2016/7/24,254.4
2016/7/31,250.6
2016/8/7,250.2
2016/8/14,252.7
2016/8/21,252.2
2016/8/28,262.5
2016/9/4,264.1
2016/9/11,265.3
2016/9/18,264.3
2016/9/25,246.5
2016/9/26,241.9
2016/10/9,258.4
2016/10/16,270.8
2016/10/23,262
2016/10/30,273.2
2016/11/6,274.06
2016/11/13,278.3
2016/11/20,271.4
2016/11/27,257.2
2016/12/4,263.6
2016/12/11,267.9
2016/12/18,267.1
2016/12/20,227.3
2016/12/31,256
2017/1/8,249.9
2017/1/15,269.2
2017/1/22,292.2
2017/2/2,231.1
2017/2/7,278.1
2017/2/19,267.2
2017/2/28,266.7
2017/3/4,264.8
2017/3/11,268.6
2017/3/18,262.4
2017/3/25,263.2
2017/4/1,266.6
2017/4/8,264.8
2017/4/15,283
2017/4/22,269.8
2017/4/29,275.5
2017/5/6,272.4
2017/5/13,278.3
2017/5/20,252.8
2017/5/27,282.3
2017/6/3,274.5
2017/6/12,280.4
2017/6/17,276.5
2017/6/24,288.81
2017/7/1,283.4
2017/7/10,291.2
2017/7/17,288.2
2017/7/24,287.62
2017/7/31,289.52
2017/8/7,266.99
2017/8/14,288.8
2017/8/21,298.8
2017/8/28,299.6
2017/9/4,294.02
2017/9/11,292.09
2017/9/18,295.64
2017/9/25,288.51
2017/9/26,284.77
2017/10/11,264
2017/10/18,263.86
2017/10/25,258.13
2017/11/1,276
2017/11/13,268.59
2017/11/20,285.68
2017/11/22,275.98
2017/11/29,261.75
2017/12/6,267.62
2017/12/13,263.78
2017/12/20,259.71
2017/12/27,266.5
2018/1/3,258.77
2018/1/10,268.27
2018/1/17,251.85
2018/1/24,274.53
2018/2/2,274.63
2018/2/14,309.09
2018/2/21,196.69
2018/3/4,289.07
2018/3/11,268.84
2018/3/14,249.83
2018/3/25,255.66
2018/4/1,265.05
2018/4/8,272.28
2018/4/15,271.81
2018/4/22,277.06
2018/4/29,278.6
2018/5/4,268.41
2018/5/9,271.83
2018/5/16,283.5
2018/5/23,286.19
2018/5/30,285.85
2018/6/6,275.52
2018/6/19,266.83
2018/6/24,281.51
2018/7/1,269.95
2018/7/4,287.32
2018/7/11,279.02
2018/7/18,274.46
2018/7/25,262.23
2018/8/1,279.37
2018/8/8,277.03
2018/8/15,272.62
2018/8/22,263.18
2018/8/29,281.82
2018/9/5,282.43
2018/9/12,287.48
2018/9/19,285.01
2018/9/26,293.95
2018/10/11,289.97
2018/10/18,291.93
2018/10/25,304.41
2018/11/1,307.89
2018/11/8,296.26
2018/11/15,287.29
2018/11/22,278.56
2018/11/29,276.23
2018/12/6,268.82
2018/12/13,267.65
2018/12/20,271.98
2018/12/27,265.23
2019/1/3,264.03
2019/1/10,279.47
2019/1/17,287.78
2019/1/24,301.37
2019/2/2,313
2019/2/14,266.76
2019/2/26,283.3
2019/2/28,292.31
2019/3/7,266.11
2019/3/14,248.73
2019/3/21,292.8
2019/3/28,277.14
2019/4/4,276.58
2019/4/11,289.83
2019/4/18,280.25
2019/4/25,283
2019/5/1,292.82
2019/5/9,297.9
2019/5/16,293.5
2019/5/23,297.14
2019/5/30,289.89
2019/6/6,295
2019/6/13,291.61
2019/6/24,281.68
2019/6/27,287.73
2019/7/4,281.02
2019/7/11,290.3
2019/7/18,291.85
2019/7/25,286.64
2019/8/1,262.1
2019/8/8,293.89
2019/8/15,254.65
