Date,Quantity
2014/1/3,8930
2014/1/10,9144
2014/1/17,9609
2014/1/24,9812
2014/2/7,10286
2014/2/14,10612
2014/2/21,10720
2014/2/28,10601
2014/3/7,10857
2014/3/14,11065
2014/3/21,11193
2014/3/28,11158
2014/4/4,11102
2014/4/11,11165
2014/4/18,11058
2014/4/25,11263
2014/5/2,11306
2014/5/9,11260
2014/5/16,11475
2014/5/23,11535
2014/5/30,11588
2014/6/6,11576
2014/6/13,11570
2014/6/20,11621
2014/6/27,11481
2014/7/4,11618
2014/7/11,11616
2014/7/18,11546
2014/7/25,11345
2014/8/1,11333
2014/8/8,11189
2014/8/15,11067
2014/8/22,11080
2014/8/29,11237
2014/9/5,11269
2014/9/12,11341
2014/9/19,11370
2014/9/26,11069
2014/10/10,10851
2014/10/17,10658
2014/10/24,10581
2014/10/31,10718
2014/11/7,10624
2014/11/14,10743
2014/11/21,10805
2014/11/28,10689
2014/12/5,10503
2014/12/12,10489
2014/12/19,10277
2014/12/26,10059
2015/1/2,9824
2015/1/9,9870
2015/1/16,9891
2015/1/23,9822
2015/1/30,9977
2015/2/6,9848
2015/2/13,9669
2015/2/27,9829
2015/3/6,9938
2015/3/13,10028
2015/3/20,9919
2015/3/27,10013
2015/4/3,9724
2015/4/10,9737
2015/4/17,9758
2015/4/24,9716
2015/5/1,9507
2015/5/8,8991
2015/5/15,8656
2015/5/22,8492
2015/5/29,8331
2015/6/5,8273
2015/6/12,8074
2015/6/19,7962
2015/6/26,7871
2015/7/3,8177
2015/7/10,8201
2015/7/17,8115
2015/7/24,8175
2015/7/31,8068
2015/8/7,8156
2015/8/14,8167
2015/8/21,8104
2015/8/28,8059
2015/9/4,7994
2015/9/11,8125
2015/9/18,8290
2015/9/25,8552
2015/10/9,8093
2015/10/16,8427
2015/10/23,8387
2015/10/30,8445
2015/11/6,8711
2015/11/13,8713
2015/11/20,8658
2015/11/27,8917
2015/12/4,9149
2015/12/11,9209
2015/12/18,9429
2015/12/25,9743
2015/12/31,9608
2016/1/8,9906
2016/1/15,10063
2016/1/22,10005
2016/1/29,9841
2016/2/2,9657
2016/2/19,9813
2016/2/26,9819
2016/3/4,9786
2016/3/11,9695
2016/3/18,9750
2016/3/25,9631
2016/4/1,9943
2016/4/8,10072
2016/4/15,9914
2016/4/22,9939
2016/4/29,10008
2016/5/6,10067
2016/5/13,9937
2016/5/20,10178
2016/5/27,10186
2016/6/3,10017
2016/6/12,10070
2016/6/17,10057
2016/6/24,10268
2016/7/1,10461
2016/7/8,10657
2016/7/15,10840
2016/7/22,10884
2016/7/29,10864
2016/8/5,10821
2016/8/12,10754
2016/8/19,10641
2016/8/26,10540
2016/9/2,10424
2016/9/9,10346
2016/9/14,10401
2016/9/23,10272
2016/9/30,10648
2016/10/7,10461
2016/10/14,10568
2016/10/21,10686
2016/10/28,10829
2016/11/4,11119
2016/11/11,10909
2016/11/18,11135
2016/11/25,11073
2016/12/2,11212
2016/12/9,11243
2016/12/16,11299
2016/12/23,11165
2016/12/30,11439
2017/1/6,11732
2017/1/13,11899
2017/1/20,11951
2017/2/10,12820
2017/2/17,12931
2017/2/24,13081
2017/3/3,13166
2017/3/10,13129
2017/3/17,13182
2017/3/24,13363
2017/3/31,13456
2017/4/7,13374
2017/4/14,13236
2017/4/21,13135
2017/4/28,13333
2017/5/5,13606
2017/5/12,13793
2017/5/19,13942
2017/5/26,14027
2017/6/2,14014
2017/6/9,14411
2017/6/16,14235.7
2017/6/23,14539.3
2017/6/30,14413
2017/7/7,14229.4
2017/7/14,14287.2
2017/7/21,14319.72
2017/7/28,14231.22
2017/8/4,14036.78
2017/8/11,13834.44
2017/8/18,13635.27
2017/8/25,13473
2017/9/1,13419
2017/9/8,13390
2017/9/15,13261
2017/9/22,13174
2017/9/29,13357
2017/10/13,13147
2017/10/20,13178
2017/10/27,13594
2017/11/3,13741.87
2017/11/10,13841.67
2017/11/17,13815.34
2017/11/24,13984.94
2017/12/1,14135.52
2017/12/8,14217.59
2017/12/15,14338.7
2017/12/22,14536.57
2017/12/29,14655.09
2018/1/5,14923.21
2018/1/12,15197.03
2018/1/19,15360.86
2018/1/26,15182.22
2018/2/2,15142.81
2018/2/9,15238.12
2018/2/23,15750.23
2018/3/2,15956.23
2018/3/9,15832.17
2018/3/16,15972.6
2018/3/23,16135.4
2018/3/30,16281.8
2018/4/5,16116.13
2018/4/13,16042.97
2018/4/20,15983.18
2018/4/27,15908.41
2018/5/4,16015.99
2018/5/11,15876.39
2018/5/18,15756.47
2018/5/25,15889.44
2018/6/1,16040.16
2018/6/8,15914.61
2018/6/15,15723.47
2018/6/22,15488.41
2018/6/29,15579.28
2018/7/6,15342.07
2018/7/13,15351.73
2018/7/20,15365.23
2018/7/27,15345.48
2018/8/3,15410.39
2018/8/10,15286.9
2018/8/17,15145.93
2018/8/24,14961.91
2018/8/31,14733.23
2018/9/7,14774.36
2018/9/14,14756.61
2018/9/21,14784.43
2018/9/28,14516.54
2018/10/12,14353.18
2018/10/19,14527.65
2018/10/26,14518.64
2018/11/2,14357.4
2018/11/9,14281.87
2018/11/16,14273.01
2018/11/22,14314.08
2018/11/30,14034.92
2018/12/7,13860.02
2018/12/14,13941.33
2018/12/21,13885.38
2018/12/28,14156.43
2019/1/2,14288.16
2019/1/9,14182.2
2019/1/16,14373.5
2019/1/23,14205.75
2019/1/29,13973.95
2019/2/13,14414.21
2019/2/19,14576.5
2019/2/26,14687.73
2019/3/4,14745.65
2019/3/11,14770
2019/3/18,14788.56
2019/3/25,14702.93
2019/4/1,14843.43
2019/4/8,14186.13
2019/4/15,13836.29
2019/4/22,13426
2019/4/29,13437.48
2019/5/6,13330.83
2019/5/13,13206.92
2019/5/20,12767.82
2019/5/27,12398.1
2019/6/3,12158.71
2019/6/9,11795.73
2019/6/19,11752.3
2019/6/24,11565.03
2019/7/4,11493.15
2019/7/8,11413.51
2019/7/15,11682.09
2019/7/22,11641.81
2019/7/29,11869.28
2019/8/5,11850.75
2019/8/12,11601.24
2019/8/19,11984.33
2019/8/26,12131.4
2019/9/2,12091.66
2019/9/9,11944.78
2019/9/15,12254.29
2019/9/25,12033
2019/10/9,12669.6
2019/10/16,12724.03
2019/10/23,12836.45
2019/10/30,12648.5
2019/11/6,12585.69
2019/11/13,12373.75
2019/11/20,12517.25
2019/11/27,12383.41
2019/12/4,12343.88
2019/12/11,12307.54
2019/12/18,12692.51
2019/12/25,12695.53
2020/1/3,12513.4
2020/1/9,12337.86
2020/1/16,12373.93
2020/1/23,12352.59
2020/2/7,12557.46
2020/2/14,12468.96
2020/2/21,12394.23
2020/2/28,12170.16
2020/3/6,12077.47
2020/3/13,11911.13
2020/3/20,11844.13
2020/3/27,11694.89
2020/4/3,11536.3
2020/4/10,11609.35
2020/4/17,11635.78
2020/4/24,11583.36
2020/5/1,11398.03
2020/5/8,11188.96
2020/5/12,11036.1
2020/5/15,11094.9
2020/5/18,10964.45
2020/5/22,10926.08
2020/5/25,10938.39
2020/5/29,10784.85
2020/6/1,10755.35
2020/6/5,10753.7
2020/6/8,10628.58
2020/6/12,10697.7
2020/6/15,10702.4
2020/6/20,10617.16
2020/6/23,10633.3
2020/6/26,10781.1
2020/6/29,10772
2020/7/1,10808.75
2020/7/4,10849.1
2020/7/8,10878.08
2020/7/11,10887.89
2020/7/17,11047.44
2020/7/20,11169.5
2020/7/24,11325.13
2020/7/27,11356.93
2020/7/31,11402.72
2020/8/3,11397.62
2020/8/8,11345.76
2020/8/11,11293.89
2020/8/15,11323.05
2020/8/18,11160.89
2020/8/22,11241.72
2020/8/25,11393.3
2020/8/29,11310.48
2020/9/5,11373.99
2020/9/8,11449.83
2020/9/12,11456.45
2020/9/15,11501.92
2020/9/19,11492.81
2020/9/22,11545.35
2020/9/25,11616.05
2020/9/30,11906.64
2020/10/12,12060.9
2020/10/13,12108.72
2020/10/16,12238.52
2020/10/20,12286.23
2020/10/26,12415.58
2020/10/27,12590.67
2020/11/2,12763.25
2020/11/3,12796.78
2020/11/6,12811.5
2020/11/7,12726.1
2020/11/13,12777.7
2020/11/17,12790.8
2020/11/20,12751.4
2020/11/24,12718.4
2020/11/28,12605.4
2020/12/1,12529.53
2020/12/5,12446.6
2020/12/8,12367.1
2020/12/12,12203.2
2020/12/15,12393.41
2020/12/19,12404.45
2020/12/22,12362.1
2020/12/26,12408.68
2020/12/29,12501.57
2020/12/31,12415.95
2021/1/6,12267.2
2021/1/9,12223.08
2021/1/15,12411.87
2021/1/17,12404.17
2021/1/22,12438.2
2021/1/24,12566.41
2021/1/29,12500.71
2021/2/1,12507.3
2021/2/6,12519.4
2021/2/9,12483.35
2021/2/19,12706.9
2021/2/22,12658.96
2021/2/27,12644.73
2021/3/2,12797.4
2021/3/6,12789.2
2021/3/9,12769
2021/3/13,12882.4
2021/3/16,12937.51
2021/3/20,13021.1
2021/3/27,13066.1
2021/3/30,13107.3
2021/4/3,13132.9
2021/4/10,13098.82
2021/4/13,13205.59
2021/4/17,13315.37
2021/4/20,13272.51
2021/4/24,13320.2
2021/5/1,13026.69
2021/5/8,12957.78
2021/5/13,12532.9
2021/5/20,12510.6
2021/5/29,12622.16
2021/6/3,12534.7
2021/6/12,12367.17
2021/6/17,12088.75
2021/6/24,12175.91
2021/7/1,12234.86
2021/7/8,12457.6
2021/7/15,12551.38
2021/7/24,12847.76
2021/7/31,12813.42
2021/8/8,12639.3
2021/8/15,12628.3
2021/8/21,12795.78
2021/8/28,12920.9
2021/9/4,13099.15
2021/9/11,13035.2
2021/9/18,12975.74
2021/9/23,12857.22
2021/9/30,13321.66
2021/10/12,13419.3
2021/10/16,13898.19
2021/10/23,14045.48
2021/10/30,14491.95
