MarketDate,Price_Jimbuba_61,Price_PBFine_61_5
2020-01-02,608.00,668.00
2020-01-03,610.00,674.00
2020-01-06,613.00,678.00
2020-01-07,619.00,681.00
2020-01-08,622.00,687.00
2020-01-09,616.00,686.00
2020-01-10,610.00,675.00
2020-01-13,611.00,675.00
2020-01-14,613.00,678.00
2020-01-15,614.00,681.00
2020-01-16,615.00,680.00
2020-01-17,617.00,677.00
2020-01-19,618.00,682.00
2020-01-20,620.00,685.00
2020-01-21,622.00,685.00
2020-01-22,623.00,685.00
2020-01-23,606.00,685.00
2020-02-03,586.00,643.00
2020-02-04,573.00,635.00
2020-02-05,566.00,619.00
2020-02-06,550.00,610.00
2020-02-07,544.00,598.00
2020-02-10,541.00,597.00
2020-02-11,538.00,596.00
2020-02-12,547.00,609.00
2020-02-13,556.00,617.00
2020-02-14,562.00,625.00
2020-02-17,566.00,627.00
2020-02-18,572.00,637.00
2020-02-19,580.00,637.00
2020-02-20,583.00,643.00
2020-02-21,588.00,658.00
2020-02-24,597.00,667.00
2020-02-25,604.00,664.00
2020-02-26,594.00,664.00
2020-02-27,583.00,645.00
2020-02-28,585.00,633.00
2020-03-02,589.00,621.00
2020-03-03,592.00,650.00
2020-03-04,588.00,645.00
2020-03-05,590.00,654.00
2020-03-06,593.00,659.00
2020-03-09,597.00,646.00
2020-03-10,599.00,639.00
2020-03-11,604.00,654.00
2020-03-12,603.00,652.00
2020-03-13,602.00,652.00
2020-03-16,604.00,662.00
2020-03-17,606.00,656.00
2020-03-18,608.00,663.00
2020-03-19,616.00,665.00
2020-03-20,597.00,667.00
2020-03-23,588.00,649.00
2020-03-24,576.00,631.00
2020-03-25,590.00,644.00
2020-03-26,597.00,653.00
2020-03-27,596.00,653.00
2020-03-30,593.00,650.00
2020-03-31,588.00,641.00
2020-04-01,593.00,642.00
2020-04-02,592.00,632.00
2020-04-03,591.00,640.00
2020-04-07,595.00,638.00
2020-04-08,599.00,630.00
2020-04-09,602.00,647.00
2020-04-10,608.00,651.00
2020-04-13,612.00,651.00
2020-04-14,614.00,654.00
2020-04-15,615.00,656.00
2020-04-16,613.00,657.00
2020-04-17,612.00,658.00
2020-04-20,610.00,659.00
2020-04-21,612.00,660.00
2020-04-22,609.00,649.00
2020-04-23,605.00,654.00
2020-04-24,603.00,650.00
2020-04-26,602.00,649.00
2020-04-27,600.00,653.00
2020-04-28,598.00,648.00
2020-04-29,596.00,643.00
2020-04-30,598.00,641.00
2020-05-06,604.00,650.00
2020-05-07,600.00,650.00
2020-05-08,604.00,662.00
2020-05-09,607.00,663.00
2020-05-11,605.00,665.00
2020-05-12,604.00,662.00
2020-05-13,610.00,670.00
2020-05-14,614.00,673.00
2020-05-15,629.00,675.00
2020-05-18,635.00,696.00
2020-05-19,647.00,706.00
2020-05-20,656.00,722.00
2020-05-21,667.00,723.00
2020-05-22,670.00,732.00
2020-05-25,671.00,729.00
2020-05-26,673.00,729.00
2020-05-27,669.00,711.00
2020-05-28,666.00,722.00
2020-05-29,665.00,737.00
2020-06-01,695.00,761.00
2020-06-02,708.00,764.00
2020-06-03,708.00,766.00
2020-06-04,708.00,770.00
2020-06-05,721.00,760.00
2020-06-08,723.00,788.00
2020-06-09,736.00,793.00
2020-06-10,729.00,787.00
2020-06-11,723.00,781.00
2020-06-12,725.00,781.00
2020-06-15,729.00,789.00
2020-06-16,727.00,784.00
2020-06-17,726.00,787.00
2020-06-18,722.00,783.00
2020-06-19,719.00,781.00
2020-06-22,716.00,782.00
2020-06-23,711.00,769.00
2020-06-24,718.00,775.00
2020-06-28,724.00,783.00
2020-06-29,717.00,782.00
2020-06-30,705.00,766.00
2020-07-01,715.00,770.00
2020-07-02,710.00,769.00
2020-07-03,718.00,769.00
2020-07-06,723.00,771.00
2020-07-07,726.00,785.00
2020-07-08,729.00,796.00
2020-07-09,736.00,802.00
2020-07-10,757.00,802.00
2020-07-13,761.00,820.00
2020-07-14,781.00,839.00
2020-07-15,778.00,842.00
2020-07-16,774.00,841.00
2020-07-17,771.00,836.00
2020-07-20,771.00,835.00
2020-07-21,772.00,837.00
2020-07-22,773.00,845.00
2020-07-23,773.00,846.00
2020-07-24,776.00,848.00
2020-07-27,765.00,840.00
2020-07-28,756.00,831.00
2020-07-29,764.00,836.00
2020-07-30,771.00,844.00
2020-07-31,784.00,846.00
2020-08-03,789.00,857.00
2020-08-04,814.00,885.00
2020-08-05,820.00,885.00
2020-08-06,831.00,897.00
2020-08-07,834.00,902.00
2020-08-10,827.00,894.00
2020-08-11,834.00,902.00
2020-08-12,837.00,896.00
2020-08-13,838.00,905.00
2020-08-14,841.00,905.00
2020-08-17,844.00,915.00
2020-08-18,845.00,923.00
2020-08-19,863.00,949.00
2020-08-20,886.00,951.00
2020-08-21,882.00,953.00
2020-08-24,881.00,952.00
2020-08-25,878.00,947.00
2020-08-26,877.00,937.00
2020-08-27,876.00,933.00
2020-08-28,875.00,933.00
2020-08-31,878.00,937.00
2020-09-01,882.00,942.00
2020-09-02,889.00,942.00
2020-09-03,892.00,946.00
2020-09-04,895.00,942.00
2020-09-07,905.00,948.00
2020-09-08,905.00,946.00
2020-09-09,900.00,949.00
2020-09-10,897.00,939.00
2020-09-11,892.00,932.00
2020-09-14,903.00,937.00
2020-09-15,906.00,942.00
2020-09-16,892.00,937.00
2020-09-17,865.00,912.00
2020-09-18,866.00,911.00
2020-09-21,871.00,915.00
2020-09-22,862.00,895.00
2020-09-23,858.00,895.00
2020-09-24,847.00,884.00
2020-09-25,845.00,882.00
2020-09-27,841.00,880.00
2020-09-28,838.00,880.00
2020-09-29,848.00,882.00
2020-09-30,852.00,883.00
2020-10-09,859.00,900.00
2020-10-10,864.00,908.00
2020-10-12,865.00,908.00
2020-10-13,870.00,906.00
2020-10-14,864.00,897.00
2020-10-15,857.00,886.00
2020-10-16,852.00,871.00
2020-10-19,844.00,871.00
2020-10-20,842.00,864.00
2020-10-21,841.00,862.00
2020-10-22,840.00,867.00
2020-10-23,832.00,865.00
2020-10-26,826.00,855.00
2020-10-27,819.00,846.00
2020-10-28,817.00,845.00
2020-10-29,820.00,852.00
2020-10-30,824.00,859.00
2020-11-02,827.00,861.00
2020-11-03,824.00,863.00
