Shipment_Volume_Date,Global_Shipment_Volume,Aus_Bra_Shipment_Volume,Aus_Shipment_Volume,FMG_Shipment_Volume,BHP_Shipment_Volume,Rio_Tinto_Shipment_Volume,Vale_Shipment_Volume,Bra_Shipment_Volume,Aus_to_China_Shipment_Volume,FMG_to_China_Shipment_Volume,BHP_to_China_Shipment_Volume,Rio_Tinto_to_China_Shipment_Volume,Non_Mainstream_Shipment_Volume
2020-10-16,3383.5,2796.7,2026.6,358.3,521.9,809.6,641.7,770.1,1634.8,330.8,400.3,652.3,586.8
2020-10-23,3193.6,2457.5,1721.1,355.0,559.9,493.3,532.3,736.4,1381.1,335.0,502.5,365.6,736.1
2020-10-30,3385.7,2739.8,1886.9,378.7,599.6,612.7,665.5,852.9,1579.2,314.6,498.0,507.9,645.9
2020-11-06,2780.8,2137.5,1587.2,316.9,532.2,626.1,452.7,550.3,1216.5,277.7,450.6,394.0,643.3
2020-11-13,3282.8,2588.8,1834.8,332.0,555.4,806.5,562.2,754.0,1481.6,292.2,458.2,606.9,694.0
2020-11-20,3003.0,2371.0,1667.6,306.2,500.4,587.1,569.6,703.4,1389.2,306.2,461.4,431.0,632.0
2020-11-27,3158.4,2444.6,1677.1,344.8,494.8,603.0,619.6,767.5,1373.9,305.0,380.8,522.6,713.8
2020-12-04,3129.2,2382.6,1735.0,337.5,570.0,608.6,442.2,647.6,1437.1,305.8,454.8,480.2,746.6
2020-12-11,2960.0,2271.8,1568.9,304.9,463.3,627.2,525.2,702.9,1370.3,276.0,377.6,549.3,688.2
2020-12-18,3244.9,2517.0,1830.6,353.2,527.6,705.1,547.6,686.4,1430.9,353.2,430.2,463.1,727.9
2020-12-25,3556.3,2974.7,2172.2,395.4,699.6,824.1,628.5,802.5,1853.6,378.7,599.3,673.4,581.6
2021-01-01,3407.9,2846.5,2051.2,393.8,588.8,772.8,650.4,795.3,1722.9,369.8,517.4,582.5,561.4
2021-01-08,2821.7,2284.3,1784.5,308.6,601.5,642.1,376.4,499.8,1484.6,288.8,519.8,497.8,537.4
2021-01-15,2743.7,2134.3,1534.2,311.4,489.1,553.8,549.6,600.1,1312.4,311.4,434.5,446.1,609.4
2021-01-22,2624.1,1977.2,1402.3,274.6,391.4,489.5,376.2,574.9,1195.9,254.6,391.4,353.2,646.9
2021-01-29,3175.3,2469.2,1704.7,326.5,509.8,631.5,568.7,764.5,1313.4,304.6,379.7,462.9,706.1
2021-02-05,2341.2,1814.7,1294.2,313.8,384.3,452.9,441.1,520.5,1135.6,258.4,347.3,395.7,526.5
2021-02-12,3240.0,2602.1,1958.7,386.1,632.5,639.3,482.5,643.4,1490.0,326.9,468.7,482.7,637.9
2021-02-19,2902.7,2257.9,1694.0,265.9,538.8,699.6,417.4,563.9,1454.4,265.9,459.0,550.8,644.8
2021-02-26,3213.1,2407.2,1800.0,339.0,530.8,695.5,478.5,607.2,1456.5,322.0,411.8,535.0,805.9
2021-03-05,2789.0,2207.6,1516.6,332.2,530.5,417.9,465.8,691.0,1187.1,246.6,439.2,316.8,581.4
2021-03-12,3101.5,2341.5,1789.1,273.1,584.3,685.0,428.5,552.4,1359.0,253.4,487.6,427.3,760.0
2021-03-19,2910.2,2293.9,1663.9,261.5,520.9,584.0,424.1,630.0,1346.5,261.5,427.1,434.2,616.3
2021-03-26,3516.6,2807.6,2158.4,419.7,652.3,735.7,441.4,649.2,1725.7,349.6,538.7,588.8,709.0
2021-04-02,3108.9,2404.1,1810.9,363.9,529.9,608.5,442.9,593.2,1538.2,332.8,456.6,493.0,704.8
2021-04-09,2605.9,2012.4,1454.8,340.3,584.6,289.1,427.2,557.6,1172.8,287.3,449.3,248.8,593.5
2021-04-16,3076.4,2407.7,1694.3,318.5,543.0,604.1,521.6,713.4,1351.9,298.7,462.8,449.0,668.7
2021-04-23,3237.4,2473.2,1948.0,345.1,599.5,724.3,401.2,525.2,1493.0,293.6,461.3,504.4,764.2
2021-04-30,3275.3,2451.6,1726.0,330.5,518.0,632.9,505.4,725.6,1512.0,293.5,474.2,531.1,823.7
2021-05-07,3247.7,2481.9,1935.2,388.4,577.2,696.1,414.9,546.7,1613.9,364.4,488.7,551.5,765.8
2021-05-14,2725.0,2258.3,1677.6,388.1,575.9,561.5,419.8,580.7,1425.3,343.3,518.8,423.2,466.7
2021-05-21,3332.4,2640.2,1840.5,394.4,600.9,629.5,623.3,799.7,1585.0,368.0,504.1,527.5,692.2
2021-05-28,3038.2,2372.9,1682.1,353.6,530.9,545.3,478.8,690.8,1288.4,316.2,401.8,418.8,665.3
2021-06-04,3095.3,2502.4,1687.7,373.2,597.3,449.8,633.9,814.7,1391.0,315.0,476.9,364.4,592.9
2021-06-11,3205.9,2613.5,1849.9,378.8,612.1,589.5,562.2,763.6,1550.6,378.8,533.0,419.6,592.4
2021-06-18,2986.8,2418.2,1828.8,386.4,590.8,541.4,430.9,589.4,1479.8,352.4,455.9,409.5,568.6
2021-06-25,3468.8,2772.3,1981.2,386.8,647.7,650.7,550.5,791.1,1560.3,316.2,547.9,490.7,696.5
2021-07-02,3178.6,2490.6,1810.0,347.8,603.8,616.8,589.1,680.6,1558.1,299.8,529.5,537.5,688.0
2021-07-09,3002.7,2375.9,1623.5,259.7,547.7,549.3,511.0,752.4,1277.0,259.7,453.3,366.4,626.8
2021-07-16,2935.8,2327.5,1597.8,269.5,533.4,598.9,571.0,729.7,1389.2,259.9,495.9,450.3,608.3
2021-07-23,3249.1,2487.1,1739.8,399.0,568.5,547.7,529.9,747.3,1485.9,323.4,531.6,447.3,762.0
2021-07-30,3125.7,2472.4,1690.8,386.1,522.1,570.9,588.2,781.6,1340.1,347.3,438.7,411.0,653.3
2021-08-06,3215.0,2566.6,1927.4,323.9,525.8,818.1,533.7,639.2,1494.7,314.8,373.6,635.7,648.4
2021-08-13,2857.7,2276.7,1505.2,311.0,536.3,492.7,564.4,771.5,1300.2,290.9,435.7,418.7,581.0
2021-08-20,3303.9,2619.2,1758.4,278.7,575.7,671.8,649.1,860.8,1368.0,224.4,435.7,523.3,684.7
2021-08-27,3154.2,2615.0,1847.2,397.5,538.9,618.0,624.8,767.8,1582.2,377.9,467.9,503.3,539.2
2021-09-03,3237.4,2565.5,1797.2,393.5,550.7,641.1,602.0,768.3,1532.3,326.7,473.8,519.9,671.9
2021-09-10,3178.6,2579.5,1848.4,308.5,591.5,620.9,562.8,731.1,1416.3,285.7,428.3,501.1,599.1
2021-09-17,3308.4,2688.7,1954.0,364.7,514.6,790.6,600.9,734.7,1610.8,316.1,462.0,616.5,619.7
2021-09-24,3239.9,2686.7,1927.4,361.6,585.9,701.9,604.7,759.3,1550.6,322.5,471.3,559.1,553.2
2021-10-01,3552.7,2744.2,1800.4,266.0,554.6,712.2,739.0,943.8,1565.6,233.2,482.4,595.7,808.5
