YearMon,Yield
2012-01,7151.52
2012-02,8156.69
2012-03,10331.10
2012-04,10401.90
2012-05,11235.30
2012-06,12569.30
2012-07,11546.10
2012-08,11656.90
2012-09,12906.20
2012-10,12485.30
2012-11,12463.50
2012-12,11947.90
2013-01,8653.90
2013-02,8863.40
2013-03,11220.90
2013-04,11053.30
2013-05,11679.04
2013-06,12924.85
2013-07,12052.59
2013-08,12983.91
2013-09,13664.04
2013-10,13487.36
2013-11,13865.61
2013-12,13185.10
2014-01,9629.60
2014-02,8697.70
2014-03,12093.10
2014-04,12237.13
2014-05,13194.39
2014-06,13932.38
2014-07,13673.87
2014-08,13652.10
2014-09,13735.08
2014-10,13484.60
2014-11,12817.66
2014-12,12627.00
2015-01,9222.97
2015-02,8330.43
2015-03,10510.03
2015-04,10409.53
2015-05,11766.28
2015-06,12848.23
2015-07,12619.00
2015-08,12381.36
2015-09,13156.60
2015-10,12534.67
2015-11,11753.40
2015-12,11967.10
2016-01,8498.44
2016-02,7689.06
2016-03,9815.80
2016-04,10256.70
2016-05,10754.10
2016-06,12106.40
2016-07,11574.30
2016-08,11506.90
2016-09,11892.70
2016-10,11928.90
2016-11,11667.90
2016-12,11938.60
2017-01,9668.32
2017-02,8747.53
2017-03,11361.00
2017-04,10337.20
2017-05,10748.10
2017-06,12469.31
2017-07,11466.40
2017-08,11549.10
2017-09,11912.60
2017-10,12007.40
2017-11,10965.80
2017-12,10922.40
2018-01,6487.09
2018-02,5859.31
2018-03,6688.50
2018-04,6746.80
2018-05,6725.30
2018-06,6550.20
2018-07,6476.00
2018-08,6465.90
2018-09,6692.70
2018-10,6882.20
2018-11,6889.30
2018-12,6842.20
2019-01,5813.88
2019-02,6040.62
2019-03,6977.60
2019-04,6845.00
2019-05,7078.70
2019-06,7313.40
2019-07,7399.60
2019-08,7429.60
2019-09,7737.10
2019-10,7804.80
2019-11,7924.50
2019-12,7517.70
2020-03,7475.70
2020-04,7437.90
2020-05,7464.20
2020-06,7831.70
2020-07,7302.70
2020-08,7699.90
2020-09,7348.10
2020-10,7842.10
2020-11,7521.20
2020-12,7702.10
2021-01,6793.31
2021-02,6135.89
2021-03,8175.00
2021-04,8689.40
2021-05,8761.20
2021-06,8786.90
2021-07,7992.00
2021-08,8391.50
2021-09,8469.80
2021-10,8012.75
2021-11,7839.60
2021-12,7851.20
2022-03,9476.20
2022-04,8579.40
2022-05,9780.50
2022-06,9871.08
2022-07,8022.68
2022-08,8113.30
2022-09,7897.60
2022-10,7267.50
2022-11,7953.60
2022-12,7861.20
2023-03,8640.30
2023-04,7509.60
2023-05,7760.10
2023-06,8515.54
2023-07,8570.90
2023-08,8633.30
2023-09,8436.80
2023-10,8644.50
