IndexDate,PusiIndex62USD
2013-01-02,146.50
2013-01-03,150.75
2013-01-04,155.75
2013-01-07,156.50
2013-01-08,159.00
2013-01-09,159.25
2013-01-10,158.75
2013-01-11,155.25
2013-01-14,155.25
2013-01-15,151.25
2013-01-16,147.00
2013-01-17,144.50
2013-01-18,144.75
2013-01-21,146.00
2013-01-22,146.25
2013-01-23,146.75
2013-01-24,147.25
2013-01-25,148.00
2013-01-28,148.25
2013-01-29,148.00
2013-01-30,151.00
2013-01-31,153.00
2013-02-01,154.00
2013-02-04,155.00
2013-02-05,155.00
2013-02-06,155.25
2013-02-07,155.25
2013-02-08,155.25
2013-02-12,155.25
2013-02-13,155.25
2013-02-14,155.25
2013-02-15,155.25
2013-02-18,158.00
2013-02-19,159.00
2013-02-20,160.00
2013-02-21,157.00
2013-02-22,152.50
2013-02-25,151.50
2013-02-26,151.50
2013-02-27,150.50
2013-02-28,150.75
2013-03-01,150.00
2013-03-04,146.50
2013-03-05,145.25
2013-03-06,146.25
2013-03-07,147.00
2013-03-08,147.00
2013-03-11,146.25
2013-03-12,145.50
2013-03-13,139.75
2013-03-14,133.75
2013-03-15,134.25
2013-03-18,134.00
2013-03-19,133.50
2013-03-20,133.25
2013-03-21,133.25
2013-03-22,134.75
2013-03-25,136.00
2013-03-26,137.25
2013-03-27,138.00
2013-03-28,138.00
2013-04-01,135.75
2013-04-02,136.00
2013-04-03,136.00
2013-04-04,136.00
2013-04-05,136.00
2013-04-08,138.25
2013-04-09,139.50
2013-04-10,141.25
2013-04-11,142.00
2013-04-12,142.00
2013-04-15,141.00
2013-04-16,139.25
2013-04-17,139.00
2013-04-18,138.00
2013-04-19,137.75
2013-04-22,137.50
2013-04-23,136.50
2013-04-24,135.75
2013-04-25,135.75
2013-04-26,134.50
2013-04-29,134.00
2013-04-30,133.75
2013-05-02,130.50
2013-05-03,128.50
2013-05-06,128.75
2013-05-07,131.00
2013-05-08,131.00
2013-05-09,131.00
2013-05-10,130.75
2013-05-13,130.00
2013-05-14,129.00
2013-05-15,127.50
2013-05-16,125.50
2013-05-17,123.50
2013-05-20,123.50
2013-05-21,124.50
2013-05-22,124.75
2013-05-23,123.00
2013-05-27,121.25
2013-05-28,118.75
2013-05-29,114.75
2013-05-30,111.50
2013-05-31,109.75
2013-06-03,113.25
2013-06-04,116.00
2013-06-05,116.75
2013-06-06,112.25
2013-06-07,110.75
2013-06-10,110.75
2013-06-11,110.75
2013-06-12,110.75
2013-06-13,110.75
2013-06-14,113.75
2013-06-17,115.75
2013-06-18,117.25
2013-06-19,120.00
2013-06-20,120.00
2013-06-21,118.75
2013-06-24,115.50
2013-06-25,113.75
2013-06-26,112.75
2013-06-27,115.50
2013-06-28,116.25
2013-07-01,116.75
2013-07-02,118.75
2013-07-03,120.75
2013-07-04,125.00
2013-07-05,124.00
2013-07-08,121.50
2013-07-09,123.00
2013-07-10,124.00
2013-07-11,126.50
2013-07-12,128.00
2013-07-15,129.00
2013-07-16,129.25
2013-07-17,129.50
2013-07-18,131.50
2013-07-19,132.00
2013-07-22,131.00
2013-07-23,131.00
2013-07-24,131.00
2013-07-25,131.50
2013-07-26,131.50
2013-07-29,131.00
2013-07-30,130.50
2013-07-31,130.00
2013-08-01,129.75
2013-08-02,129.75
2013-08-05,130.25
2013-08-06,131.50
2013-08-07,133.50
2013-08-12,140.00
2013-08-13,142.00
2013-08-14,142.50
2013-08-15,140.50
2013-08-16,138.00
2013-08-19,137.00
2013-08-20,136.50
2013-08-21,136.50
2013-08-22,137.50
2013-08-23,138.50
2013-08-26,139.50
2013-08-27,141.00
2013-08-28,140.00
2013-08-29,139.00
2013-08-30,139.00
2013-09-02,139.00
2013-09-03,138.50
2013-09-04,138.00
2013-09-05,137.00
2013-09-06,136.00
2013-09-09,135.75
2013-09-10,135.25
2013-09-11,135.00
2013-09-12,135.75
2013-09-13,134.50
2013-09-16,133.00
2013-09-17,130.50
2013-09-18,130.25
2013-09-19,131.00
2013-09-20,131.50
2013-09-23,131.50
2013-09-24,132.50
2013-09-25,132.00
2013-09-26,132.00
2013-09-27,131.50
2013-09-30,131.00
2013-10-01,131.00
2013-10-02,131.00
2013-10-03,131.00
2013-10-04,130.75
2013-10-07,130.75
2013-10-08,131.50
2013-10-09,132.00
2013-10-10,133.50
2013-10-11,134.00
2013-10-14,134.00
2013-10-16,134.00
2013-10-17,135.00
2013-10-18,135.50
2013-10-21,134.75
2013-10-22,133.75
2013-10-23,133.25
2013-10-24,132.50
2013-10-25,131.75
2013-10-28,130.75
2013-10-29,129.75
2013-10-30,130.75
2013-10-31,132.25
2013-11-01,135.00
2013-11-04,135.00
2013-11-05,135.75
2013-11-06,136.75
2013-11-07,136.75
2013-11-08,135.50
2013-11-11,135.75
2013-11-12,135.75
2013-11-13,136.25
2013-11-14,135.75
2013-11-15,136.75
2013-11-18,136.75
2013-11-19,135.50
2013-11-20,135.50
2013-11-21,135.50
2013-11-22,135.75
2013-11-25,135.50
2013-11-26,136.00
2013-11-27,136.00
2013-11-28,136.00
2013-11-29,136.00
2013-12-02,136.50
2013-12-03,138.00
2013-12-04,140.00
2013-12-05,140.00
2013-12-06,139.00
2013-12-09,138.75
2013-12-10,139.25
2013-12-11,138.25
2013-12-12,137.25
2013-12-13,135.25
2013-12-16,134.75
2013-12-17,133.25
2013-12-18,133.25
2013-12-19,133.00
2013-12-20,132.75
2013-12-23,131.25
2013-12-24,132.00
2013-12-26,132.25
2013-12-27,133.25
2013-12-30,134.75
2013-12-31,134.75
2014-01-02,134.50
2014-01-03,134.00
2014-01-06,133.75
2014-01-07,132.50
2014-01-08,132.00
2014-01-09,131.25
2014-01-10,131.25
2014-01-13,131.00
2014-01-14,130.75
2014-01-15,129.25
2014-01-16,128.25
2014-01-17,127.75
2014-01-20,126.25
2014-01-21,123.00
2014-01-22,122.75
2014-01-23,124.50
2014-01-24,124.75
2014-01-27,124.25
2014-01-28,123.50
2014-01-29,123.00
2014-01-30,123.00
2014-02-03,123.00
2014-02-04,123.00
2014-02-05,122.25
2014-02-06,121.25
2014-02-07,120.25
2014-02-10,120.00
2014-02-11,119.50
2014-02-12,121.00
2014-02-13,123.00
2014-02-14,123.50
2014-02-17,124.50
2014-02-18,124.50
2014-02-19,124.25
2014-02-20,122.25
2014-02-21,122.00
2014-02-24,119.00
2014-02-25,117.75
2014-02-26,117.50
2014-02-27,118.25
2014-02-28,118.00
2014-03-03,118.00
2014-03-04,117.00
2014-03-05,116.00
2014-03-06,115.00
2014-03-07,112.00
2014-03-10,105.00
2014-03-11,105.50
2014-03-12,108.75
2014-03-13,111.50
2014-03-14,110.25
2014-03-17,110.25
2014-03-18,110.75
2014-03-19,109.75
2014-03-20,110.50
2014-03-21,110.75
2014-03-24,110.25
2014-03-25,111.75
2014-03-26,111.75
2014-03-27,112.25
2014-03-28,113.25
2014-03-31,117.25
2014-04-01,116.75
2014-04-02,115.50
2014-04-03,115.00
2014-04-04,116.00
2014-04-07,116.50
2014-04-08,118.25
2014-04-09,119.00
2014-04-10,118.00
2014-04-11,116.25
2014-04-14,116.25
2014-04-15,115.75
2014-04-16,114.75
2014-04-17,116.25
2014-04-21,113.75
2014-04-22,112.00
2014-04-23,113.25
2014-04-24,113.50
2014-04-25,111.00
2014-04-28,108.25
2014-04-29,107.50
2014-04-30,105.50
2014-05-02,105.25
2014-05-05,106.00
2014-05-06,106.00
2014-05-07,105.00
2014-05-08,103.00
2014-05-09,102.75
2014-05-12,103.25
2014-05-14,104.00
2014-05-15,103.25
2014-05-16,99.75
2014-05-19,98.75
2014-05-20,98.00
2014-05-21,99.00
2014-05-22,100.75
2014-05-23,98.75
2014-05-26,99.50
2014-05-27,98.75
2014-05-28,97.25
2014-05-29,95.50
2014-05-30,91.50
2014-06-02,91.75
2014-06-03,92.50
2014-06-04,95.00
2014-06-05,94.25
2014-06-06,94.75
2014-06-09,93.75
2014-06-10,93.25
2014-06-11,93.25
2014-06-12,90.75
2014-06-13,90.75
2014-06-16,89.00
2014-06-17,89.50
2014-06-18,91.00
2014-06-19,91.25
2014-06-20,91.75
2014-06-23,93.50
2014-06-24,93.25
2014-06-25,93.75
2014-06-26,95.75
2014-06-27,94.00
2014-06-30,93.25
2014-07-01,94.00
2014-07-02,95.75
2014-07-03,96.50
2014-07-04,96.00
2014-07-07,95.25
2014-07-08,96.00
2014-07-09,96.00
2014-07-10,96.25
2014-07-11,97.00
2014-07-14,97.75
2014-07-15,98.00
2014-07-16,98.25
2014-07-17,96.25
2014-07-18,95.75
2014-07-21,95.00
2014-07-22,95.00
2014-07-23,94.00
2014-07-24,93.00
2014-07-25,94.00
2014-07-29,95.50
2014-07-30,95.50
2014-07-31,95.25
2014-08-01,93.50
2014-08-04,94.75
2014-08-05,95.50
2014-08-06,95.50
2014-08-07,95.50
2014-08-08,95.00
2014-08-11,95.00
2014-08-12,93.75
2014-08-13,93.50
2014-08-14,93.50
2014-08-15,93.75
