IndexDate,profitability_rate
2019/1/4,76.11
2019/1/11,77.73
2019/1/18,78.54
2019/1/25,79.35
2019/2/1,80.97
2019/2/8,81.38
2019/2/15,81.78
2019/2/22,81.78
2019/3/1,82.59
2019/3/8,84.21
2019/3/15,83.4
2019/3/22,85.43
2019/3/29,86.64
2019/4/5,87.04
2019/4/12,88.26
2019/4/19,88.26
2019/4/26,88.26
2019/5/3,90.28
2019/5/10,90.28
2019/5/17,90.28
2019/5/24,90.69
2019/5/31,90.69
2019/6/7,91.09
2019/6/14,91.09
2019/6/21,88.66
2019/6/28,89.88
2019/7/5,90.69
2019/7/12,90.69
2019/7/19,91.09
2019/7/26,90.69
2019/8/2,89.47
2019/8/9,84.62
2019/8/16,78.14
2019/8/23,76.52
2019/8/30,75.3
2019/9/6,78.14
2019/9/13,79.76
2019/9/20,84.21
2019/9/27,86.23
2019/10/4,86.23
2019/10/11,87.04
2019/10/18,85.02
2019/10/25,86.23
2019/11/1,86.23
2019/11/8,85.43
2019/11/15,86.23
2019/11/22,87.85
2019/11/29,89.88
2019/12/6,89.88
2019/12/13,89.88
2019/12/20,88.26
2019/12/27,88.26
2020/1/3,88.26
2020/1/10,87.45
2020/1/17,87.45
2020/1/24,87.85
2020/2/7,87.05
2020/2/14,81.78
2020/2/21,81.38
2020/2/28,82.19
2020/3/6,80.97
2020/3/13,77.73
2020/3/20,80.97
2020/3/27,81.78
2020/4/3,82.59
2020/4/10,83.4
2020/4/17,83.81
2020/4/24,84.21
2020/5/1,84.21
2020/5/8,86.44
2020/5/15,90.04
2020/5/22,91.77
2020/5/29,92.64
2020/6/5,93.07
2020/6/12,94.37
2020/6/19,95.24
2020/6/26,95.24
2020/7/3,93.51
2020/7/10,94.37
2020/7/17,94.37
2020/7/24,94.37
2020/7/31,94.37
2020/8/7,95.24
2020/8/14,95.24
2020/8/21,95.24
2020/8/28,95.24
2020/9/4,95.24
2020/9/11,94.81
2020/9/18,93.51
2020/9/25,91.34
2020/10/2,90.04
2020/10/9,89.18
2020/10/16,90.04
2020/10/23,90.04
2020/10/30,90.04
2020/11/6,90.91
2020/11/13,92.64
2020/11/20,92.64
2020/11/27,92.64
2020/12/4,92.64
2020/12/11,92.21
2020/12/18,90.04
2020/12/25,90.91
2021/1/1,90.48
2021/1/8,89.61
2021/1/15,87.45
2021/1/22,86.15
2021/1/29,79.65
2021/2/5,75.76
2021/2/19,77.06
2021/2/26,85.71
2021/3/5,90.04
2021/3/12,90.48
2021/3/19,90.04
2021/3/26,89.61
2021/4/2,89.18
2021/4/9,90.48
2021/4/16,90.04
2021/4/23,90.04
2021/4/30,90.04
2021/5/7,90.04
2021/5/14,90.04
2021/5/21,90.04
2021/5/28,85.28
2021/6/4,86.15
2021/6/11,85.71
2021/6/18,86.15
2021/6/25,74.46
2021/7/2,71.43
2021/7/9,74.03
2021/7/16,82.68
2021/7/23,84.42
2021/7/30,86.15
2021/8/6,87.88
2021/8/13,89.18
2021/8/20,89.18
2021/8/27,89.18
2021/9/3,88.31
2021/9/10,88.74
2021/9/17,88.31
2021/9/24,87.88
2021/10/1,85.28
2021/10/8,86.58
2021/10/15,88.74
2021/10/22,88.74
2021/10/29,81.39
2021/11/5,71.86
2021/11/12,49.78
2021/11/19,42.86
2021/11/26,58.01
2021/12/3,67.53
2021/12/10,79.65
2021/12/17,81.39
2021/12/24,82.25
2021/12/31,86.15
2022/1/7,83.12
2022/1/14,83.12
2022/1/21,81.82
2022/1/28,83.12
2022/2/11,82.25
2022/2/18,80.95
2022/2/25,83.12
2022/3/4,83.55
2022/3/11,83.55
2022/3/18,81.39
2022/3/25,76.19
2022/4/1,74.89
2022/4/8,76.19
2022/4/15,74.89
2022/4/22,74.89
2022/4/29,62.77
2022/5/6,62.34
2022/5/13,58.44
2022/5/20,56.71
2022/5/27,48.48
2022/6/3,51.52
2022/6/10,58.87
2022/6/17,41.99
2022/6/24,15.15
2022/7/1,16.02
2022/7/8,16.88
2022/7/15,13.85
2022/7/22,9.96
2022/7/29,19.05
2022/8/5,41.99
2022/8/12,54.55
2022/8/19,62.77
2022/8/26,61.9
2022/9/2,50.65
2022/9/9,52.38
2022/9/16,52.81
2022/9/23,47.19
2022/9/30,51.52
2022/10/7,51.52
2022/10/14,48.05
2022/10/21,38.53
2022/10/28,27.71
2022/11/4,9.96
2022/11/11,19.05
2022/11/18,23.81
2022/11/25,22.51
2022/12/2,23.81
2022/12/9,22.51
2022/12/16,21.65
2022/12/23,21.65
2022/12/30,19.91
2023/1/6,19.91
2023/1/13,22.94
2023/1/20,27.27
2023/1/27,32.47
2023/2/3,34.2
2023/2/10,38.53
2023/2/17,35.93
2023/2/24,38.96
2023/3/3,42.86
2023/3/10,49.35
2023/3/17,57.58
2023/3/24,58.87
2023/3/31,58.87
2023/4/7,54.55
2023/4/14,47.62
2023/4/21,42.42
2023/4/28,26.41
2023/5/5,22.08
2023/5/12,23.81
2023/5/19,33.33
2023/5/26,34.2
2023/6/2,32.9
2023/6/9,43.72
2023/6/16,51.95
2023/6/23,60.17
2023/6/30,64.07
2023/7/7,63.64
2023/7/14,64.07
2023/7/21,64.07
2023/7/28,64.5
2023/8/4,64.94
2023/8/11,61.47
2023/8/18,58.87
2023/8/25,51.08
2023/9/1,45.45
2023/9/8,45.02
2023/9/15,42.86
2023/9/22,42.86
2023/9/29,34.2
2023/10/6,30.74
2023/10/13,24.24
2023/10/20,19.05
2023/10/27,16.45
2023/11/3,16.88
2023/11/10,20.78
