date,yield
2013/1/2,146.5
2013/1/3,150.75
2013/1/4,155.75
2013/1/7,156.5
2013/1/8,159
2013/1/9,159.25
2013/1/10,158.75
2013/1/11,155.25
2013/1/14,155.25
2013/1/15,151.25
2013/1/16,147
2013/1/17,144.5
2013/1/18,144.75
2013/1/21,146
2013/1/22,146.25
2013/1/23,146.75
2013/1/24,147.25
2013/1/25,148
2013/1/28,148.25
2013/1/29,148
2013/1/30,151
2013/1/31,153
2013/2/1,154
2013/2/4,155
2013/2/5,155
2013/2/6,155.25
2013/2/7,155.25
2013/2/8,155.25
2013/2/12,155.25
2013/2/13,155.25
2013/2/14,155.25
2013/2/15,155.25
2013/2/18,158
2013/2/19,159
2013/2/20,160
2013/2/21,157
2013/2/22,152.5
2013/2/25,151.5
2013/2/26,151.5
2013/2/27,150.5
2013/2/28,150.75
2013/3/1,150
2013/3/4,146.5
2013/3/5,145.25
2013/3/6,146.25
2013/3/7,147
2013/3/8,147
2013/3/11,146.25
2013/3/12,145.5
2013/3/13,139.75
2013/3/14,133.75
2013/3/15,134.25
2013/3/18,134
2013/3/19,133.5
2013/3/20,133.25
2013/3/21,133.25
2013/3/22,134.75
2013/3/25,136
2013/3/26,137.25
2013/3/27,138
2013/3/28,138
2013/4/1,135.75
2013/4/2,136
2013/4/3,136
2013/4/4,136
2013/4/5,136
2013/4/8,138.25
2013/4/9,139.5
2013/4/10,141.25
2013/4/11,142
2013/4/12,142
2013/4/15,141
2013/4/16,139.25
2013/4/17,139
2013/4/18,138
2013/4/19,137.75
2013/4/22,137.5
2013/4/23,136.5
2013/4/24,135.75
2013/4/25,135.75
2013/4/26,134.5
2013/4/29,134
2013/4/30,133.75
2013/5/2,130.5
2013/5/3,128.5
2013/5/6,128.75
2013/5/7,131
2013/5/8,131
2013/5/9,131
2013/5/10,130.75
2013/5/13,130
2013/5/14,129
2013/5/15,127.5
2013/5/16,125.5
2013/5/17,123.5
2013/5/20,123.5
2013/5/21,124.5
2013/5/22,124.75
2013/5/23,123
2013/5/27,121.25
2013/5/28,118.75
2013/5/29,114.75
2013/5/30,111.5
2013/5/31,109.75
2013/6/3,113.25
2013/6/4,116
2013/6/5,116.75
2013/6/6,112.25
2013/6/7,110.75
2013/6/10,110.75
2013/6/11,110.75
2013/6/12,110.75
2013/6/13,110.75
2013/6/14,113.75
2013/6/17,115.75
2013/6/18,117.25
2013/6/19,120
2013/6/20,120
2013/6/21,118.75
2013/6/24,115.5
2013/6/25,113.75
2013/6/26,112.75
2013/6/27,115.5
2013/6/28,116.25
2013/7/1,116.75
2013/7/2,118.75
2013/7/3,120.75
2013/7/4,125
2013/7/5,124
2013/7/8,121.5
2013/7/9,123
2013/7/10,124
2013/7/11,126.5
2013/7/12,128
2013/7/15,129
2013/7/16,129.25
2013/7/17,129.5
2013/7/18,131.5
2013/7/19,132
2013/7/22,131
2013/7/23,131
2013/7/24,131
2013/7/25,131.5
2013/7/26,131.5
2013/7/29,131
2013/7/30,130.5
2013/7/31,130
2013/8/1,129.75
2013/8/2,129.75
2013/8/5,130.25
2013/8/6,131.5
2013/8/7,133.5
2013/8/12,140
2013/8/13,142
2013/8/14,142.5
2013/8/15,140.5
2013/8/16,138
2013/8/19,137
2013/8/20,136.5
2013/8/21,136.5
2013/8/22,137.5
2013/8/23,138.5
2013/8/26,139.5
2013/8/27,141
2013/8/28,140
2013/8/29,139
2013/8/30,139
2013/9/2,139
2013/9/3,138.5
2013/9/4,138
2013/9/5,137
2013/9/6,136
2013/9/9,135.75
2013/9/10,135.25
2013/9/11,135
2013/9/12,135.75
2013/9/13,134.5
2013/9/16,133
2013/9/17,130.5
2013/9/18,130.25
2013/9/19,131
2013/9/20,131.5
2013/9/23,131.5
2013/9/24,132.5
2013/9/25,132
2013/9/26,132
2013/9/27,131.5
2013/9/30,131
2013/10/1,131
2013/10/2,131
2013/10/3,131
2013/10/4,130.75
2013/10/7,130.75
2013/10/8,131.5
2013/10/9,132
2013/10/10,133.5
2013/10/11,134
2013/10/14,134
2013/10/16,134
2013/10/17,135
2013/10/18,135.5
2013/10/21,134.75
2013/10/22,133.75
2013/10/23,133.25
2013/10/24,132.5
2013/10/25,131.75
2013/10/28,130.75
2013/10/29,129.75
2013/10/30,130.75
2013/10/31,132.25
2013/11/1,135
2013/11/4,135
2013/11/5,135.75
2013/11/6,136.75
2013/11/7,136.75
2013/11/8,135.5
2013/11/11,135.75
2013/11/12,135.75
2013/11/13,136.25
2013/11/14,135.75
2013/11/15,136.75
2013/11/18,136.75
2013/11/19,135.5
2013/11/20,135.5
2013/11/21,135.5
2013/11/22,135.75
2013/11/25,135.5
2013/11/26,136
2013/11/27,136
2013/11/28,136
2013/11/29,136
2013/12/2,136.5
2013/12/3,138
2013/12/4,140
2013/12/5,140
2013/12/6,139
2013/12/9,138.75
2013/12/10,139.25
2013/12/11,138.25
2013/12/12,137.25
2013/12/13,135.25
2013/12/16,134.75
2013/12/17,133.25
2013/12/18,133.25
2013/12/19,133
2013/12/20,132.75
2013/12/23,131.25
2013/12/24,132
2013/12/26,132.25
2013/12/27,133.25
2013/12/30,134.75
2013/12/31,134.75
2014/1/2,134.5
2014/1/3,134
2014/1/6,133.75
2014/1/7,132.5
2014/1/8,132
2014/1/9,131.25
2014/1/10,131.25
2014/1/13,131
2014/1/14,130.75
2014/1/15,129.25
2014/1/16,128.25
2014/1/17,127.75
2014/1/20,126.25
2014/1/21,123
2014/1/22,122.75
2014/1/23,124.5
2014/1/24,124.75
2014/1/27,124.25
2014/1/28,123.5
2014/1/29,123
2014/1/30,123
2014/2/3,123
2014/2/4,123
2014/2/5,122.25
2014/2/6,121.25
2014/2/7,120.25
2014/2/10,120
2014/2/11,119.5
2014/2/12,121
2014/2/13,123
2014/2/14,123.5
2014/2/17,124.5
2014/2/18,124.5
2014/2/19,124.25
2014/2/20,122.25
2014/2/21,122
2014/2/24,119
2014/2/25,117.75
2014/2/26,117.5
2014/2/27,118.25
2014/2/28,118
2014/3/3,118
2014/3/4,117
2014/3/5,116
2014/3/6,115
2014/3/7,112
2014/3/10,105
2014/3/11,105.5
2014/3/12,108.75
2014/3/13,111.5
2014/3/14,110.25
2014/3/17,110.25
2014/3/18,110.75
2014/3/19,109.75
2014/3/20,110.5
2014/3/21,110.75
2014/3/24,110.25
2014/3/25,111.75
2014/3/26,111.75
2014/3/27,112.25
2014/3/28,113.25
2014/3/31,117.25
2014/4/1,116.75
2014/4/2,115.5
2014/4/3,115
2014/4/4,116
2014/4/7,116.5
2014/4/8,118.25
2014/4/9,119
