YearMon,Yield
2021-01,9020.00
2021-02,8479.00
2021-03,9402.00
2021-04,9785.00
2021-05,9945.00
2021-06,9388.00
2021-07,8679.00
2021-08,8324.00
2021-09,7375.00
2021-10,7158.00
2021-11,6931.00
2021-12,8619.00
2022-01,8299.59
2022-02,7496.41
2022-03,8830.00
2022-04,9278.00
2022-05,9661.00
2022-06,9073.00
2022-07,8143.00
2022-08,8387.00
2022-09,8695.00
2022-10,7976.00
2022-11,7454.00
2022-12,7789.00
2023-01,8863.90
2023-02,8006.10
2023-03,9573.00
2023-04,9263.50
2023-05,9012.00
2023-06,9111.00
2023-07,9080.00
2023-08,8641.00
2023-09,8211.00
2023-10,7909.00
