MarketDate,ClosingPrice,SettlementPrice
2013-10-18,953.00,949.00
2013-10-21,938.00,942.00
2013-10-22,920.00,927.00
2013-10-23,919.00,921.00
2013-10-24,910.00,912.00
2013-10-25,903.00,911.00
2013-10-28,904.00,903.00
2013-10-29,903.00,900.00
2013-10-30,903.00,904.00
2013-10-31,902.00,902.00
2013-11-01,926.00,921.00
2013-11-04,929.00,928.00
2013-11-05,927.00,927.00
2013-11-06,925.00,927.00
2013-11-07,928.00,926.00
2013-11-08,923.00,925.00
2013-11-11,925.00,922.00
2013-11-12,926.00,925.00
2013-11-13,924.00,928.00
2013-11-14,920.00,922.00
2013-11-15,915.00,917.00
2013-11-18,918.00,916.00
2013-11-19,925.00,918.00
2013-11-20,925.00,925.00
2013-11-21,917.00,919.00
2013-11-22,917.00,917.00
2013-11-25,918.00,916.00
2013-11-26,925.00,924.00
2013-11-27,922.00,921.00
2013-11-28,923.00,922.00
2013-11-29,924.00,924.00
2013-12-02,924.00,923.00
2013-12-03,925.00,924.00
2013-12-04,934.00,932.00
2013-12-05,927.00,932.00
2013-12-06,924.00,924.00
2013-12-09,927.00,925.00
2013-12-10,926.00,926.00
2013-12-11,921.00,921.00
2013-12-12,917.00,920.00
2013-12-13,899.00,900.00
2013-12-16,902.00,903.00
2013-12-17,897.00,901.00
2013-12-18,894.00,893.00
2013-12-19,892.00,892.00
2013-12-20,889.00,892.00
2013-12-23,873.00,873.00
2013-12-24,878.00,880.00
2013-12-25,880.00,880.00
2013-12-26,880.00,875.00
2013-12-27,887.00,885.00
2013-12-30,891.00,895.00
2013-12-31,892.00,891.00
2014-01-02,889.00,887.00
2014-01-03,881.00,879.00
2014-01-06,873.00,874.00
2014-01-07,880.00,876.00
2014-01-08,874.00,873.00
2014-01-09,870.00,871.00
2014-01-10,861.00,858.00
2014-01-13,853.00,854.00
2014-01-14,865.00,857.00
2014-01-15,861.00,861.00
2014-01-16,861.00,862.00
2014-01-17,856.00,856.00
2014-01-20,844.00,849.00
2014-01-21,832.00,832.00
2014-01-22,836.00,835.00
2014-01-23,861.00,854.00
2014-01-24,860.00,858.00
2014-01-27,849.00,850.00
2014-01-28,843.00,847.00
2014-01-29,850.00,849.00
2014-01-30,854.00,851.00
2014-02-07,840.00,844.00
2014-02-10,840.00,838.00
2014-02-11,836.00,838.00
2014-02-12,840.00,836.00
2014-02-13,840.00,841.00
2014-02-14,849.00,847.00
2014-02-17,863.00,857.00
2014-02-18,852.00,860.00
2014-02-19,856.00,854.00
2014-02-20,845.00,849.00
2014-02-21,844.00,843.00
2014-02-24,820.00,825.00
2014-02-25,814.00,816.00
2014-02-26,815.00,813.00
2014-02-27,818.00,816.00
2014-02-28,808.00,812.00
2014-03-03,799.00,799.00
2014-03-04,801.00,796.00
2014-03-05,802.00,798.00
2014-03-06,787.00,795.00
2014-03-07,764.00,774.00
2014-03-10,728.00,734.00
2014-03-11,740.00,731.00
2014-03-12,737.00,726.00
2014-03-13,749.00,737.00
2014-03-14,740.00,735.00
2014-03-17,729.00,734.00
2014-03-18,732.00,730.00
2014-03-19,732.00,733.00
2014-03-20,733.00,744.00
2014-03-21,733.00,735.00
2014-03-24,744.00,730.00
2014-03-25,759.00,751.00
2014-03-26,758.00,755.00
2014-03-27,757.00,761.00
2014-03-28,781.00,769.00
2014-03-31,794.00,789.00
2014-04-01,800.00,794.00
2014-04-02,784.00,787.00
2014-04-03,799.00,790.00
2014-04-04,808.00,800.00
2014-04-08,825.00,821.00
2014-04-09,819.00,824.00
2014-04-10,816.00,820.00
2014-04-11,814.00,812.00
2014-04-14,803.00,805.00
2014-04-15,812.00,803.00
2014-04-16,797.00,799.00
2014-04-17,795.00,797.00
2014-04-18,781.00,782.00
2014-04-21,781.00,782.00
2014-04-22,779.00,775.00
2014-04-23,786.00,778.00
2014-04-24,794.00,790.00
2014-04-25,795.00,796.00
2014-04-28,760.00,768.00
2014-04-29,771.00,769.00
2014-04-30,765.00,763.00
2014-05-05,771.00,764.00
2014-05-06,768.00,769.00
2014-05-07,749.00,759.00
2014-05-08,735.00,743.00
2014-05-09,735.00,736.00
2014-05-12,741.00,734.00
2014-05-13,740.00,743.00
2014-05-14,738.00,738.00
2014-05-15,738.00,739.00
2014-05-16,717.00,722.00
2014-05-19,707.00,708.00
2014-05-20,700.00,701.00
2014-05-21,708.00,706.00
2014-05-22,714.00,717.00
2014-05-23,707.00,711.00
2014-05-26,722.00,718.00
2014-05-27,724.00,720.00
2014-05-28,707.00,710.00
2014-05-29,702.00,702.00
2014-05-30,680.00,685.00
2014-06-03,682.00,680.00
2014-06-04,691.00,687.00
2014-06-05,688.00,686.00
2014-06-06,689.00,688.00
2014-06-09,690.00,688.00
2014-06-10,686.00,685.00
2014-06-11,682.00,683.00
2014-06-12,666.00,670.00
2014-06-13,667.00,665.00
2014-06-16,661.00,661.00
2014-06-17,667.00,663.00
2014-06-18,665.00,667.00
2014-06-19,663.00,665.00
2014-06-20,677.00,673.00
2014-06-23,691.00,690.00
2014-06-24,683.00,684.00
2014-06-25,693.00,691.00
2014-06-26,717.00,708.00
2014-06-27,707.00,713.00
2014-06-30,694.00,699.00
2014-07-01,701.00,696.00
2014-07-02,716.00,709.00
2014-07-03,712.00,716.00
2014-07-04,711.00,712.00
2014-07-07,707.00,703.00
2014-07-08,720.00,709.00
2014-07-09,702.00,709.00
2014-07-10,705.00,708.00
2014-07-11,712.00,707.00
2014-07-14,714.00,715.00
2014-07-15,716.00,718.00
2014-07-16,717.00,718.00
2014-07-17,710.00,712.00
2014-07-18,684.00,696.00
2014-07-21,686.00,686.00
2014-07-22,686.00,689.00
2014-07-23,683.00,685.00
2014-07-24,674.00,676.00
2014-07-25,679.00,678.00
2014-07-28,693.00,689.00
2014-07-29,695.00,695.00
2014-07-30,690.00,690.00
2014-07-31,691.00,691.00
2014-08-01,686.00,688.00
2014-08-04,694.00,688.00
2014-08-05,692.00,695.00
2014-08-06,690.00,691.00
2014-08-07,687.00,692.00
2014-08-08,686.00,684.00
2014-08-11,684.00,687.00
2014-08-12,684.00,683.00
2014-08-13,671.00,677.00
2014-08-14,662.00,666.00
2014-08-15,674.00,668.00
2014-08-18,663.00,668.00
2014-08-19,668.00,664.00
2014-08-20,669.00,671.00
2014-08-21,665.00,665.00
2014-08-22,662.00,664.00
2014-08-25,659.00,658.00
2014-08-26,656.00,658.00
2014-08-27,637.00,650.00
2014-08-28,624.00,627.00
2014-08-29,596.00,611.00
2014-09-01,600.00,594.00
2014-09-02,603.00,598.00
2014-09-03,594.00,595.00
2014-09-04,588.00,593.00
2014-09-05,560.00,560.00
2014-09-09,570.00,570.00
2014-09-10,592.00,589.00
2014-09-11,589.00,589.00
2014-09-12,594.00,594.00
2014-09-15,580.00,589.00
2014-09-16,594.00,591.00
2014-09-17,590.00,588.00
2014-09-18,585.00,585.00
2014-09-19,571.00,570.00
2014-09-22,548.00,551.00
2014-09-23,550.00,549.00
2014-09-24,554.00,555.00
