Date,Quantity
2021-01-07,320.70
2021-01-14,318.46
2021-01-21,338.69
2021-01-28,331.05
2021-02-03,316.88
2021-02-17,310.52
2021-02-24,290.73
2021-03-01,314.76
2021-03-07,323.85
2021-03-14,331.41
2021-03-21,338.70
2021-03-28,344.87
2021-04-05,350.35
2021-04-11,328.72
2021-04-18,323.33
2021-04-24,326.86
2021-05-02,311.50
2021-05-09,348.27
2021-05-16,339.10
2021-05-23,333.16
2021-05-30,334.75
2021-06-06,332.33
2021-06-13,327.94
2021-06-20,328.47
2021-06-27,318.66
2021-07-04,326.41
2021-07-11,324.73
2021-07-18,318.22
2021-07-25,310.02
2021-07-31,326.09
2021-08-07,328.59
2021-08-14,318.44
2021-08-21,323.72
2021-08-28,328.93
2021-09-06,332.80
2021-09-11,314.75
2021-09-18,306.98
2021-09-25,304.64
2021-10-09,285.96
2021-10-16,311.55
2021-10-23,294.65
2021-10-30,295.63
2021-11-07,299.28
2021-11-14,306.76
2021-11-21,303.21
2021-11-26,294.04
2021-12-03,284.16
2021-12-10,281.21
2021-12-17,307.89
2021-12-25,298.00
2021-12-31,305.69
2022-01-07,307.12
2022-01-14,312.35
2022-01-21,311.30
2022-01-28,317.17
2022-02-03,290.48
2022-02-10,245.67
2022-02-17,291.53
2022-02-24,318.00
2022-03-01,329.04
2022-03-07,309.66
2022-03-14,306.85
2022-03-21,314.04
2022-03-28,313.57
2022-04-05,320.70
2022-04-11,313.52
2022-04-18,317.47
2022-04-24,331.69
2022-05-02,316.14
2022-05-09,332.29
2022-05-16,331.64
2022-05-23,308.54
2022-05-30,313.57
2022-06-06,322.14
2022-06-13,310.62
2022-06-20,312.82
2022-06-27,327.96
2022-07-04,309.74
2022-07-11,302.16
2022-07-18,305.53
2022-07-25,314.29
2022-07-31,304.71
2022-08-07,301.91
2022-08-14,302.45
2022-08-21,299.55
2022-08-28,315.89
2022-09-06,318.98
2022-09-11,305.21
2022-09-18,310.37
2022-09-25,311.00
2022-10-09,284.01
2022-10-16,303.40
2022-10-23,319.16
2022-10-30,321.37
2022-11-07,319.02
2022-11-14,305.75
2022-11-21,312.43
2022-11-26,303.20
2022-12-03,305.19
2022-12-10,310.61
2022-12-17,310.39
2022-12-25,297.78
2022-12-31,304.25
2023-01-07,290.36
2023-01-14,283.79
2023-01-21,289.80
2023-01-28,258.46
2023-02-03,269.29
2023-02-10,307.01
2023-02-17,318.28
2023-02-24,315.09
2023-03-01,321.29
2023-03-07,317.60
2023-03-14,319.58
2023-03-21,312.12
2023-03-28,321.78
2023-04-05,329.15
2023-04-11,320.54
2023-04-18,313.15
2023-04-24,313.08
2023-05-02,300.97
2023-05-09,302.16
2023-05-16,310.08
2023-05-23,318.29
2023-05-30,318.78
2023-06-06,316.26
2023-06-13,312.13
2023-06-20,311.88
2023-06-27,300.17
2023-07-04,295.40
2023-07-11,297.42
2023-07-18,310.60
2023-07-25,314.68
2023-07-31,301.55
2023-08-07,308.02
2023-08-14,313.86
2023-08-21,316.12
2023-08-28,321.37
2023-09-06,312.39
2023-09-11,311.10
2023-09-18,306.94
2023-09-25,321.61
2023-10-09,300.16
2023-10-16,315.67
2023-10-23,318.39
2023-10-30,325.27
2023-11-07,326.35
2023-11-14,316.46
2023-11-21,311.96
