Date,Quantity
2021-01-08,316.44
2021-01-15,299.36
2021-01-22,276.61
2021-01-29,211.18
2021-02-05,144.14
2021-02-19,83.24
2021-02-26,102.92
2021-03-04,248.50
2021-03-11,343.08
2021-03-18,382.35
2021-03-25,421.19
2021-04-01,450.77
2021-04-08,455.12
2021-04-15,453.58
2021-04-22,429.62
2021-04-29,475.36
2021-05-06,400.13
2021-05-13,471.00
2021-05-20,425.21
2021-05-27,376.38
2021-06-03,408.15
2021-06-10,365.98
2021-06-17,343.54
2021-06-24,345.49
2021-07-01,324.52
2021-07-08,333.18
2021-07-15,358.54
2021-07-22,351.19
2021-07-29,330.90
2021-08-05,298.85
2021-08-12,326.85
2021-08-19,337.40
2021-08-26,339.68
2021-09-02,339.79
2021-09-09,372.12
2021-09-16,342.56
2021-09-23,324.82
2021-09-30,350.40
2021-10-07,248.01
2021-10-14,323.72
2021-10-21,291.37
2021-10-28,303.80
2021-11-04,292.85
2021-11-11,308.49
2021-11-18,305.02
2021-11-25,318.14
2021-12-02,342.62
2021-12-09,323.63
2021-12-16,313.56
2021-12-23,298.56
2021-12-30,267.73
2022-01-08,270.90
2022-01-15,264.82
2022-01-22,218.23
2022-01-29,147.62
2022-02-05,37.43
2022-02-12,86.83
2022-02-19,164.57
2022-02-26,188.99
2022-03-04,255.53
2022-03-11,333.24
2022-03-18,308.38
2022-03-25,307.39
2022-04-01,310.80
2022-04-08,296.16
2022-04-15,311.78
2022-04-22,329.13
2022-04-29,327.10
2022-05-06,302.01
2022-05-13,327.25
2022-05-20,310.61
2022-05-27,308.16
2022-06-03,322.47
2022-06-10,289.48
2022-06-17,280.54
2022-06-24,301.26
2022-07-01,323.54
2022-07-08,304.88
2022-07-15,298.15
2022-07-22,304.69
2022-07-29,310.98
2022-08-05,312.10
2022-08-12,289.49
2022-08-19,311.25
2022-08-26,284.72
2022-09-02,297.91
2022-09-09,321.32
2022-09-16,289.09
2022-09-23,319.80
2022-09-30,361.75
2022-10-07,258.90
2022-10-14,325.79
2022-10-21,322.09
2022-10-28,324.96
2022-11-04,332.01
2022-11-11,322.64
2022-11-18,311.96
2022-11-25,291.26
2022-12-02,279.77
2022-12-09,277.53
2022-12-16,298.37
2022-12-23,266.21
2022-12-30,246.67
2023-01-08,212.07
2023-01-15,171.43
2023-01-22,134.19
2023-01-29,32.76
2023-02-05,82.95
2023-02-12,136.27
2023-02-19,221.77
2023-02-26,293.68
2023-03-04,309.39
2023-03-11,356.85
2023-03-18,350.13
2023-03-25,322.43
2023-04-01,333.21
2023-04-08,310.90
2023-04-15,310.68
2023-04-22,321.45
2023-04-29,329.32
2023-05-06,282.02
2023-05-13,333.92
2023-05-20,310.63
2023-05-27,297.52
2023-06-03,311.52
2023-06-10,305.54
2023-06-17,294.46
2023-06-24,298.26
2023-07-01,255.77
2023-07-08,269.33
2023-07-15,266.13
2023-07-22,269.89
2023-07-29,273.47
2023-08-05,246.64
2023-08-12,244.09
2023-08-19,273.33
2023-08-26,283.51
2023-09-02,267.59
2023-09-09,281.40
2023-09-16,277.70
2023-09-23,284.59
2023-09-30,300.55
2023-10-07,198.93
2023-10-14,268.66
2023-10-21,299.83
2023-10-28,296.07
2023-11-04,297.89
2023-11-11,278.14
2023-11-18,274.13
