Date,Quantity
2014-01-03,4011.0
2014-01-10,4080.0
2014-01-17,4377.0
2014-01-24,4402.0
2014-02-07,4711.0
2014-02-14,4827.0
2014-02-21,4814.0
2014-02-28,4791.0
2014-03-07,5006.0
2014-03-14,5084.0
2014-03-21,5188.0
2014-03-28,5201.0
2014-04-04,5177.0
2014-04-11,5250.0
2014-04-18,5151.0
2014-04-25,5250.0
2014-05-02,5278.0
2014-05-09,5421.0
2014-05-16,5528.0
2014-05-23,5637.5
2014-05-30,5740.5
2014-06-06,5853.0
2014-06-13,5894.0
2014-06-20,5964.0
2014-06-27,5887.0
2014-07-04,5996.0
2014-07-11,5961.0
2014-07-18,5931.0
2014-07-25,5871.0
2014-08-01,5867.0
2014-08-08,5738.0
2014-08-15,5688.0
2014-08-22,5707.0
2014-08-29,5771.0
2014-09-05,5867.0
2014-09-12,5922.0
2014-09-19,5960.0
2014-09-26,5806.0
2014-10-10,5611.0
2014-10-17,5485.0
2014-10-24,5407.0
2014-10-31,5527.0
2014-11-07,5449.0
2014-11-14,5558.0
2014-11-21,5571.0
2014-11-28,5547.0
2014-12-05,5378.0
2014-12-12,5370.0
2014-12-19,5272.0
2014-12-26,5106.0
2015-01-02,4978.0
2015-01-09,5008.0
2015-01-16,4996.0
2015-01-23,4991.0
2015-01-30,5150.0
2015-02-06,5068.0
2015-02-13,4991.0
2015-02-27,5067.0
2015-03-06,5101.0
2015-03-13,5174.0
2015-03-20,5112.0
2015-03-27,5171.0
2015-04-03,5093.0
2015-04-10,5052.0
2015-04-17,5047.0
2015-04-24,5038.0
2015-05-01,4920.0
2015-05-08,4567.0
2015-05-15,4430.0
2015-05-22,4339.0
2015-05-29,4284.0
2015-06-05,4239.0
2015-06-12,4162.0
2015-06-19,4069.0
2015-06-26,4093.0
2015-07-03,4287.0
2015-07-10,4337.0
2015-07-17,4331.0
2015-07-24,4353.0
2015-07-31,4243.0
2015-08-07,4279.0
2015-08-14,4274.0
2015-08-21,4229.0
2015-08-28,4222.0
2015-09-04,4170.0
2015-09-11,4212.0
2015-09-18,4251.0
2015-09-25,4311.0
2015-10-09,4038.0
2015-10-16,4247.0
2015-10-23,4181.0
2015-10-30,4166.0
2015-11-06,4252.0
2015-11-13,4290.0
2015-11-20,4116.0
2015-11-27,4269.0
2015-12-04,4361.0
2015-12-11,4430.0
2015-12-18,4585.0
2015-12-25,4702.0
2015-12-31,4604.0
2016-01-08,4717.0
2016-01-15,4844.0
2016-01-22,4891.0
2016-01-29,4849.0
2016-02-02,4797.0
2016-02-19,4872.0
2016-02-26,4809.0
2016-03-04,4901.0
2016-03-11,4839.0
2016-03-18,4892.0
2016-03-25,4848.0
2016-04-01,5038.0
2016-04-08,5115.0
2016-04-15,4995.0
2016-04-22,5159.0
2016-04-29,5056.0
2016-05-06,5164.0
2016-05-13,5148.0
2016-05-20,5316.0
2016-05-27,5359.0
2016-06-03,5395.0
2016-06-12,5438.0
2016-06-17,5494.0
2016-06-24,5589.0
2016-07-01,5770.0
2016-07-08,5871.0
2016-07-15,5914.0
2016-07-22,5886.0
2016-07-29,5993.0
2016-08-05,6039.0
2016-08-12,5987.0
2016-08-19,5879.0
2016-08-26,5917.0
2016-09-02,5838.0
2016-09-09,5771.0
2016-09-14,5800.0
2016-09-23,5679.0
2016-09-30,5767.0
2016-10-07,5603.0
2016-10-14,5674.0
2016-10-21,5782.0
2016-10-28,5817.0
2016-11-04,5889.0
2016-11-11,5698.0
2016-11-18,5849.0
2016-11-25,5810.0
2016-12-02,5934.0
2016-12-09,6028.0
2016-12-16,6023.0
2016-12-23,5949.0
2016-12-30,6075.0
2017-01-06,6266.0
2017-01-13,6343.0
2017-01-20,6411.0
2017-02-10,6883.0
2017-02-17,6907.0
2017-02-24,6956.0
2017-03-03,7031.0
2017-03-10,7044.0
2017-03-17,7085.0
2017-03-24,7130.0
2017-03-31,7160.0
2017-04-07,7108.0
2017-04-14,7009.0
2017-04-21,6963.0
2017-04-28,7016.0
2017-05-05,7116.0
2017-05-12,7177.0
2017-05-19,7201.0
2017-05-26,7237.0
2017-06-02,7330.0
2017-06-09,7507.0
2017-06-16,7438.4
2017-06-23,7643.5
2017-06-30,7632.0
2017-07-07,7515.39
2017-07-14,7508.4
2017-07-21,7591.26
2017-07-28,7574.63
2017-08-04,7476.93
2017-08-11,7421.03
2017-08-18,7262.87
2017-08-25,7121.76
2017-09-01,7018.23
2017-09-08,7014.85
2017-09-15,7046.36
