Date,Quantity
2014-01-03,223.37
2014-01-10,214.9
2014-01-17,212.4
2014-01-24,231.5
2014-02-07,178.8
2014-02-14,209.0
2014-02-21,211.5
2014-02-28,213.2
2014-03-07,207.4
2014-03-14,218.1
2014-03-21,211.4
2014-03-28,228.7
2014-04-04,223.9
2014-04-11,217.9
2014-04-18,229.6
2014-04-25,235.58
2014-05-04,232.07
2014-05-09,235.1
2014-05-16,240.7
2014-05-23,244.3
2014-05-30,237.35
2014-06-06,242.75
2014-06-13,251.0
2014-06-20,252.96
2014-06-27,250.35
2014-07-04,253.47
2014-07-11,260.77
2014-07-18,264.67
2014-07-25,257.8
2014-08-01,257.67
2014-08-08,259.07
2014-08-15,256.86
2014-08-22,264.03
2014-08-29,256.32
2014-09-05,263.78
2014-09-12,259.76
2014-09-19,250.8
2014-09-26,256.13
2014-10-10,251.9
2014-10-17,263.9
2014-10-24,263.4
2014-10-31,263.7
2014-11-07,266.5
2014-11-14,262.7
2014-11-21,272.9
2014-11-28,264.5
2014-12-05,269.55
2014-12-12,262.3
2014-12-19,269.4
2014-12-26,271.3
2015-01-02,259.4
2015-01-09,260.5
2015-01-16,257.6
2015-01-23,244.2
2015-01-30,237.1
2015-02-06,255.15
2015-02-13,259.1
2015-02-27,219.7
2015-03-06,250.6
2015-03-13,232.2
2015-03-20,241.8
2015-03-27,241.3
2015-04-03,259.6
2015-04-10,254.1
2015-04-17,266.4
2015-04-24,272.7
2015-05-01,275.6
2015-05-08,271.8
2015-05-15,270.6
2015-05-22,265.6
2015-05-29,261.7
2015-06-05,261.2
2015-06-12,268.7
2015-06-19,262.2
2015-06-26,259.1
2015-07-03,246.3
2015-07-10,242.1
2015-07-17,249.2
2015-07-24,245.6
2015-07-31,258.1
2015-08-07,247.25
2015-08-14,240.5
2015-08-21,267.1
2015-08-28,254.1
2015-09-04,217.2
2015-09-11,231.7
2015-09-18,252.9
2015-09-25,256.4
2015-10-09,258.4
2015-10-16,240.9
2015-10-23,252.0
2015-10-30,248.4
2015-11-06,246.3
2015-11-13,250.6
2015-11-20,256.6
2015-11-27,196.9
2015-12-04,240.1
2015-12-11,247.2
2015-12-18,244.0
2015-12-25,248.4
2015-12-31,255.9
2016-01-08,247.2
2016-01-15,251.8
2016-01-22,250.2
2016-01-29,239.3
2016-02-02,272.0
2016-02-19,230.4
2016-02-26,262.8
