QUOTEDATE,SpotDZYangDiPowder,SpotDZPB_Powder,SpotDZJinBubaPowder,SpotDZKaraLaraFinePowder,SpotDZKaraJagasPowder,SpotDZBaMixBRBF,SpotDZUltraSpecialPowder,PusiIndex62USD,SpotDiscountPort,BaseDZYangDiPowder,BaseDZUltraSpecialPowder,BaseDZPB_Powder,BaseDZJinBubaPowder,SwapJan,SwapMay,SwapSep,ImportProfitJan,ImportProfitMay,ImportProfitSep,RebarMineRatioSpot,RebarMineRatioJan,RebarMineRatioMay,RebarMineRatioOct,date
2022-03-24,855.0,948.0,795.0,1305.0,1160.0,1056.0,650.0,146.35,1090.0,225.0,27.0,191.0,123.0,148.94,147.75,143.66,-289.7,-286.65,-284.77,4.95,6.05,6.0,6.06,2023-11-16
2022-03-25,870.0,965.0,810.0,1075.0,1180.0,1055.0,675.0,150.8,1124.0,203.0,16.0,172.0,101.0,154.23,152.93,148.82,-291.12,-290.27,-290.21,4.86,5.86,5.87,5.91,2023-11-16
2022-03-28,890.0,986.0,835.0,1335.0,1200.0,1093.0,696.0,152.4,1136.0,202.0,16.0,172.0,105.0,154.92,153.38,149.2,-274.81,-272.72,-276.11,4.78,5.75,5.78,5.87,2023-11-16
2022-03-29,885.0,978.0,827.0,1325.0,1190.0,1083.0,695.0,152.95,1138.0,197.0,15.0,163.0,96.0,154.63,153.28,149.04,-272.6,-174.38,-276.34,4.82,5.74,5.18,5.86,2023-11-16
2022-03-30,905.0,990.0,843.0,1330.0,1200.0,1100.0,715.0,158.2,1174.0,184.0,2.0,142.0,78.0,160.03,158.58,154.22,-274.83,-283.4,-280.55,4.77,5.54,5.62,5.68,2023-11-16
2022-03-31,900.0,993.0,828.0,1330.0,1190.0,1100.0,713.0,158.31,1174.0,177.0,-2.0,143.0,61.0,158.34,159.24,155.99,-259.85,-284.81,-292.47,4.75,5.56,5.64,5.71,2023-11-16
2022-04-01,915.0,1010.0,848.0,1335.0,1206.0,1120.0,734.0,159.85,1185.0,169.0,-4.0,138.0,58.0,161.34,160.22,155.47,-255.37,-261.33,-258.76,4.69,5.52,5.57,5.63,2023-11-16
2022-04-06,928.0,1025.0,865.0,1335.0,1230.0,1125.0,750.0,160.2,1193.0,173.0,4.0,144.0,66.0,161.36,160.2,153.03,-246.0,-261.18,-238.22,4.69,5.43,5.53,5.58,2023-11-16
2022-04-07,933.0,1005.0,850.0,1320.0,1210.0,1105.0,730.0,155.05,1153.0,201.0,4.0,144.0,72.0,156.54,155.6,151.3,-238.54,-259.77,-254.27,4.78,5.53,5.63,5.67,2023-11-16
2022-04-08,943.0,1005.0,847.0,1320.0,1210.0,1105.0,730.0,154.65,1150.0,200.0,-8.0,132.0,57.0,155.07,154.35,150.04,-213.49,-229.81,-225.31,4.77,5.42,5.46,5.52,2023-11-16
2022-04-11,915.0,972.0,815.0,1285.0,1180.0,1075.0,705.0,150.6,1121.0,212.0,8.0,139.0,65.0,151.78,150.77,146.53,-232.72,-253.96,-248.46,4.89,5.56,5.6,5.69,2023-11-16
2022-04-12,944.0,1010.0,847.0,1305.0,1195.0,1103.0,745.0,154.85,1154.0,196.0,3.0,133.0,52.0,155.62,154.84,150.92,-212.2,-226.59,-227.9,4.72,5.39,5.44,5.55,2023-11-16
2022-04-13,940.0,980.0,822.0,1295.0,1195.0,1080.0,719.0,151.4,1129.0,225.0,8.0,133.0,58.0,151.73,150.77,146.85,-220.3,-240.88,-241.62,4.86,5.51,5.56,5.69,2023-11-16
2022-04-14,943.0,993.0,835.0,1305.0,1200.0,1095.0,735.0,152.8,1135.0,211.0,8.0,130.0,55.0,154.4,153.66,149.78,-221.29,-243.46,-245.51,4.8,5.47,5.55,5.68,2023-11-16
2022-04-15,950.0,1001.0,845.0,1315.0,1208.0,1105.0,749.0,,,204.0,9.0,125.0,52.0,154.4,153.66,149.78,-203.6,-225.78,-225.42,4.78,5.44,5.52,5.61,2023-11-16
2022-04-18,960.0,1005.0,845.0,1315.0,1200.0,1105.0,753.0,153.85,1147.0,213.0,12.0,127.0,50.0,154.87,154.0,149.93,-211.2,-227.92,-226.03,4.77,5.43,5.49,5.6,2023-11-16
2022-04-19,950.0,986.0,830.0,1295.0,1185.0,1080.0,730.0,149.85,1117.0,229.0,14.0,133.0,60.0,150.78,150.23,146.35,-206.4,-233.44,-231.48,4.86,5.56,5.65,5.76,2023-11-16
2022-04-20,955.0,987.0,837.0,1300.0,1190.0,1090.0,740.0,150.7,1128.0,222.0,12.0,121.0,55.0,151.47,150.94,147.21,-197.64,-226.82,-230.96,4.88,5.56,5.69,5.82,2023-11-16
2022-04-21,959.0,990.0,838.0,1300.0,1190.0,1092.0,748.0,150.05,1125.0,221.0,15.0,120.0,51.0,151.14,150.62,147.11,-194.98,-223.22,-237.33,4.86,5.51,5.6,5.76,2023-11-16
2022-04-22,965.0,985.0,825.0,1300.0,1180.0,1085.0,735.0,150.0,1133.0,237.0,10.0,123.0,46.0,150.77,150.3,146.71,-203.04,-245.63,-271.63,4.87,5.52,5.63,5.89,2023-11-16
